"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,474149975,1749191,6121987,4994,410119107.0,1488973.0,57908881.0,60703,60829.0,785.4,0,0,,All
China,134564,2338,4638,0,106788.0,588.0,23138.0,42,93.0,3.0,160000000,111163,1439323776,Asia
USA,81476269,23607,999792,817,63450626.0,195708.0,17025851.0,2934,243695.0,2990.0,974440926,2914546,334337077,North America
India,43012749,1778,516636,62,42473057.0,2542.0,23056.0,8944,30651.0,368.0,784290846,558886,1403309897,Asia
Brazil,29683686,41838,657773,410,28286808.0,72713.0,739105.0,8318,137964.0,3057.0,63776166,296420,215155037,South America
France,24342116,180777,141218,133,22699221.0,57545.0,1501677.0,1632,371513.0,2155.0,246629975,3764099,65521647,Europe
UK,20464441,103332,163929,250,18700082.0,36242.0,1600430.0,299,298757.0,2393.0,498139550,7272256,68498631,Europe
Germany,19134583,268357,127865,324,14904100.0,223400.0,4102618.0,2494,227132.0,1518.0,104701826,1242837,84244187,Europe
Russia,17637795,26394,365373,472,16346800.0,74920.0,925622.0,2300,120772.0,2502.0,273400000,1872065,146041966,Europe
Turkey,14726276,17426,97437,90,14364955.0,22184.0,263884.0,975,171439.0,1134.0,151259310,1760920,85897906,Asia
Italy,13994190,98463,158101,197,12633384.0,71380.0,1202705.0,455,232041.0,2622.0,196572613,3259419,60309089,Europe
Spain,11378784,13536,102053,86,10707169.0,30529.0,569562.0,682,243210.0,2181.0,471036328,10067914,46785890,Europe
S. Korea,9936540,353725,13141,384,,,,1104,193525.0,256.0,15804065,307802,51344987,Asia
Argentina,9016057,4690,127675,76,8821024.0,3738.0,67358.0,632,196393.0,2781.0,35142143,765488,45908177,South America
Vietnam,8338914,130735,42014,65,4468805.0,186137.0,3828095.0,4225,84365.0,425.0,83048614,840207,98843026,Asia
Netherlands,7583852,40534,21820,24,6060759.0,36434.0,1501273.0,160,440921.0,1269.0,21107399,1227174,17200006,Europe
Iran,7143409,1120,139735,73,6833351.0,4637.0,170323.0,1869,83218.0,1628.0,48534882,565415,85839420,Asia
Japan,6131791,29657,27176,57,5619681.0,51958.0,484934.0,937,48738.0,216.0,42063276,334336,125811308,Asia
Colombia,6081933,294,139489,18,5914212.0,20.0,28232.0,342,117379.0,2692.0,33716878,650723,51814460,South America
Indonesia,5974646,7464,154062,170,5639029.0,29084.0,181555.0,2771,21454.0,553.0,90709336,325716,278491735,Asia
Poland,5905451,10137,114356,134,5253358.0,9903.0,537737.0,393,156331.0,3027.0,35137885,930179,37775399,Europe
Mexico,5635500,671,322107,15,4931741.0,2470.0,381652.0,4798,42934.0,2454.0,15453958,117736,131259569,North America
Ukraine,4941207,4442,107660,63,,,,177,114162.0,2487.0,19521252,451021,43282400,Europe
Malaysia,4032435,21483,34535,72,3745229.0,32561.0,252671.0,339,121906.0,1044.0,53883913,1628984,33078235,Asia
Australia,3996983,53738,5763,27,3600457.0,43315.0,390763.0,93,153682.0,222.0,65478796,2517634,26008070,Australia/Oceania
Israel,3801634,15821,10449,18,3725515.0,4645.0,65670.0,316,407638.0,1120.0,41373364,4436346,9326000,Asia
Czechia,3750666,10419,39435,33,3642533.0,8071.0,68698.0,114,349123.0,3671.0,54422005,5065758,10743112,Europe
Belgium,3728945,7477,30575,15,3471165.0,17176.0,227205.0,175,319361.0,2619.0,32452838,2779383,11676274,Europe
South Africa,3705696,912,99893,3,3591573.0,1307.0,14230.0,546,61157.0,1649.0,23619340,389803,60593017,Africa
Philippines,3674977,283,58281,5,3571938.0,541.0,44758.0,289,32787.0,520.0,28731699,256336,112086044,Asia
Peru,3542602,608,211944,20,,,,575,104933.0,6278.0,28300965,838282,33760682,South America
Austria,3532415,34340,15487,55,3087262.0,42454.0,429666.0,225,388405.0,1703.0,171415925,18847936,9094679,Europe
Portugal,3458727,0,21408,0,,,,66,340908.0,2110.0,39497750,3893079,10145633,Europe
Canada,3412946,8164,37240,31,3252912.0,8230.0,122794.0,409,89086.0,972.0,59075587,1542017,38310597,North America
Chile,3407964,6819,55976,11,2808585.0,32119.0,543403.0,777,175686.0,2886.0,34771541,1792525,19398077,South America
Thailand,3398792,21382,24420,83,3137561.0,24824.0,236811.0,687,48484.0,348.0,17270775,246370,70100875,Asia
Switzerland,3349032,30038,13600,3,2666273.0,9762.0,669159.0,156,382164.0,1552.0,19887676,2269415,8763348,Europe
Denmark,2872877,6992,5460,30,2748459.0,14591.0,118958.0,27,493008.0,937.0,126594468,21724587,5827244,Europe
Greece,2838891,26709,27029,34,2556371.0,21805.0,255491.0,342,274671.0,2615.0,71690265,6936252,10335591,Europe
Romania,2823415,5140,64754,44,2606660.0,0.0,152001.0,443,148466.0,3405.0,21820050,1147383,19017233,Europe
Sweden,2475687,0,18020,0,2410192.0,1970.0,47475.0,42,242537.0,1765.0,18342988,1797020,10207446,Europe
Iraq,2316493,187,25132,1,2275349.0,984.0,16012.0,66,55456.0,602.0,18250499,436908,41771960,Asia
Serbia,1959699,2249,15706,10,1906135.0,2495.0,37858.0,51,225852.0,1810.0,9059726,1044119,8676910,Europe
Bangladesh,1950846,121,29117,0,1872845.0,1234.0,48884.0,1264,11646.0,174.0,13740083,82027,167507748,Asia
Hungary,1831423,1495,45143,48,1683014.0,1746.0,103266.0,78,190412.0,4693.0,11022242,1145976,9618210,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162792.0,1349.0,16575546,1597316,10377123,Asia
Slovakia,1646446,8937,19161,28,1503599.0,9796.0,123686.0,203,301316.0,3507.0,6744708,1234348,5464185,Europe
Georgia,1643295,1053,16678,7,1601578.0,2067.0,25039.0,0,413302.0,4195.0,16216774,4078653,3976012,Asia
Pakistan,1522419,228,30333,2,1476796.0,676.0,15290.0,470,6670.0,133.0,27203549,119180,228256661,Asia
Ireland,1397885,7708,6680,16,1266641.0,3325.0,124564.0,61,277770.0,1327.0,11650897,2315119,5032526,Europe
