Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
Zambia,314159,,3959 ,,308784,,1416,4,16322,206,3295300,171204,19247766 
Réunion,310181,,680 ,,298082,,11419,41,342347,751,1498366,1653745,906044 
North Macedonia,300106,,9097 ,,288761,,2248,,144058,4367,1904444,914178,2083230 
New Zealand,286750,+22495,65 ,,84428,+12817,202257,,57326,13,6821356,1363698,5002100 
Albania,272337,,3483 ,,267672,,1182,13,94808,1213,1754760,610879,2872518 
Algeria,265323,,6858 ,,177926,,80539,11,5873,152,230861,5110,45180374 
Botswana,263950,,2619 ,,259434,,1897,1,108562,1077,2026898,833658,2431329 
Nigeria,254777,,3142 ,,249209,,2426,11,1187,15,4519905,21051,214713307 
Zimbabwe,240343,,5400 ,,229664,,5279,12,15785,355,2113618,138814,15226225 
Uzbekistan,237045,+51,1637 ,,234285,+88,1123,23,6914,48,1377915,40192,34283684 
Montenegro,231115,,2689 ,,227475,,951,60,367900,4280,1181494,1880761,628200 
Mozambique,225150,,2197 ,,221495,,1458,13,6880,67,1278902,39081,32724605 
Kyrgyzstan,200671,+13,2969 ,+1,195734,+21,1968,131,29929,443,1907195,284447,6704915 
Luxembourg,188748,,999 ,,177378,,10371,5,293508,1553,4089468,6359220,643077 
Afghanistan,175353,,7630 ,,157867,,9856,1124,4340,189,899343,22261,40399754 
Maldives,173337,,297 ,,158644,,14396,25,311462,534,2204721,3961571,556527 
Uganda,163416,,3592 ,,100075,,59749,35,3393,75,2485640,51608,48164108 
Ghana,160640,,1442 ,,158637,,561,1,4995,45,2321483,72182,32161642 
Namibia,157358,,4014 ,,155226,,-1882,1,60103,1533,963384,367963,2618155 
El Salvador,156364,,4092 ,,132410,,19862,153,23905,626,1758939,268902,6541179 
Iceland,150467,,73 ,,75685,,74709,5,436183,212,1803092,5226914,344963 
Laos,144551,,633 ,,7660,,136258,,19395,85,1002806,134554,7452835 
Cambodia,133263,+198,3043 ,,127683,+339,2537,,7790,178,2892129,169056,17107501 
Trinidad and Tobago,130964,,3667 ,,104797,,22500,18,93074,2606,639149,454231,1407101 
Rwanda,129567,,1458 ,,45522,,82587,1,9604,108,4939362,366123,13491003 
Jamaica,128228,,2831 ,,78946,,46451,25,42988,949,869342,291444,2982878 
Guadeloupe,126642,,837 ,,2250,,123555,19,316416,2091,938039,2343697,400239 
Martinique,126221,,900 ,,104,,125217,10,336791,2401,738299,1969974,374776 
Cameroon,119322,,1926 ,,117263,,133,13,4315,70,1751774,63344,27654720 
Angola,98829,,1900 ,,96814,,115,,2858,55,1450428,41943,34581244 
Brunei ,97018,,151 ,,56642,,40225,12,218256,340,717784,1614761,444514 
DRC,86154,,1335 ,,50930,,33889,,915,14,846704,8995,94129047 
Senegal,85772,,1962 ,,83737,,73,1,4906,112,1021410,58419,17484298 
Malawi,85452,,2619 ,,76418,,6415,67,4281,131,551327,27622,19959422 
Ivory Coast,81559,,795 ,,80455,,309,,2969,29,1431243,52094,27474411 
Suriname,78623,+44,1319 ,,49364,,27940,1,132037,2215,231236,388332,595460 
French Guiana,77931,,394 ,,11254,,66283,4,250042,1264,600744,1927488,311672 
Malta,72130,,610 ,,70158,,1362,3,162632,1375,1211456,2731470,443518 
Eswatini,69331,,1391 ,,67841,,99,11,58738,1178,482935,409150,1180338 
French Polynesia,68975,,643 ,,N/A,N/A,N/A,7,243181,2267,,,283636 
Fiji,64034,,834 ,,62179,,1021,,70572,919,498190,549057,907356 
Madagascar,63791,,1373 ,,59002,,3416,26,2208,48,401851,13912,28885550 
Guyana,63076,,1223 ,,61612,,241,4,79548,1542,546843,689651,792927 
Sudan,61631,,4865 ,,N/A,N/A,N/A,,1353,107,562941,12354,45567463 
New Caledonia,59163,+430,304 ,,54975,+391,3884,18,203934,1048,98964,341128,290108 
Mauritania,58654,,980 ,,57644,,30,30,12082,202,755263,155573,4854731 
