"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,459745746,1212353.0,6067332.0,4060.0,393190485.0,1500609.0,60487929.0,65368.0,58981.0,778.4,,,,All,,,,,,
China,116902,1436.0,4636.0,,103735.0,135.0,8531.0,8.0,81.0,3.0,160000000.0,111163.0,1439323776.0,Asia,12312.0,310467.0,9.0,1.0,,6.0
USA,81216268,17267.0,991038.0,326.0,56282006.0,202928.0,23943224.0,4090.0,242948.0,2965.0,966788183.0,2892023.0,334294730.0,North America,4.0,337.0,0.0,52.0,1.0,71623.0
India,42996062,2568.0,516005.0,98.0,42446171.0,4722.0,33886.0,8944.0,30646.0,368.0,779052383.0,555271.0,1403013575.0,Asia,33.0,2719.0,2.0,2.0,0.07,24.0
Brazil,29382196,13420.0,655326.0,187.0,27838793.0,96469.0,888077.0,8318.0,136584.0,3046.0,63776166.0,296465.0,215122061.0,South America,7.0,328.0,3.0,62.0,0.9,4128.0
France,23532997,18853.0,140294.0,185.0,22261297.0,97353.0,1131406.0,1855.0,359181.0,2141.0,246629975.0,3764280.0,65518499.0,Europe,3.0,467.0,0.0,288.0,3.0,17268.0
UK,19700952,47181.0,162873.0,45.0,18378375.0,50086.0,1159704.0,253.0,287644.0,2378.0,489876300.0,7152434.0,68490853.0,Europe,3.0,421.0,0.0,689.0,0.7,16932.0
Russia,17376241,41055.0,361344.0,533.0,15585650.0,105243.0,1429247.0,2300.0,118982.0,2474.0,273400000.0,1872082.0,146040602.0,Europe,8.0,404.0,1.0,281.0,4.0,9787.0
Germany,17342351,101872.0,126245.0,136.0,13501400.0,151500.0,3714706.0,2494.0,205872.0,1499.0,104701826.0,1242924.0,84238346.0,Europe,5.0,667.0,1.0,1209.0,2.0,44098.0
Turkey,14576069,24404.0,96620.0,133.0,14182892.0,38812.0,296557.0,975.0,169730.0,1125.0,148835451.0,1733102.0,85878080.0,Asia,6.0,889.0,1.0,284.0,2.0,3453.0
Italy,13404031,30026.0,156997.0,129.0,12242669.0,25834.0,1004365.0,518.0,222248.0,2603.0,192765493.0,3196190.0,60311024.0,Europe,4.0,384.0,0.0,498.0,2.0,16653.0
Spain,11223974,,101135.0,,10294394.0,,828445.0,689.0,239903.0,2162.0,471036328.0,10067999.0,46785495.0,Europe,4.0,463.0,0.0,,,17707.0
Argentina,8976079,4647.0,127257.0,70.0,8783575.0,6875.0,65247.0,768.0,195561.0,2773.0,34827206.0,758777.0,45899120.0,South America,5.0,361.0,1.0,101.0,2.0,1422.0
Netherlands,7214075,45892.0,21713.0,6.0,5652608.0,70343.0,1539754.0,150.0,419443.0,1262.0,21107399.0,1227233.0,17199180.0,Europe,2.0,792.0,1.0,2668.0,0.3,89525.0
Iran,7126906,3813.0,139063.0,114.0,6785933.0,5984.0,201910.0,2871.0,83049.0,1620.0,48179304.0,561426.0,85815922.0,Asia,12.0,617.0,2.0,44.0,1.0,2353.0
S. Korea,6866222,309769.0,10595.0,200.0,,,,1158.0,133730.0,206.0,15804065.0,307807.0,51344026.0,Asia,7.0,4846.0,3.0,6033.0,4.0,114640.0
Vietnam,6377438,161262.0,41477.0,92.0,3271978.0,108407.0,3063983.0,4230.0,64533.0,420.0,81738760.0,827115.0,98823902.0,Asia,15.0,2383.0,1.0,1632.0,0.9,31004.0
Colombia,6077288,469.0,139315.0,18.0,5909169.0,776.0,28804.0,342.0,117316.0,2689.0,33540156.0,647461.0,51802613.0,South America,9.0,372.0,2.0,9.0,0.3,556.0
Indonesia,5900124,9629.0,152437.0,271.0,5434729.0,39296.0,312958.0,2771.0,21191.0,547.0,89276639.0,320645.0,278428553.0,Asia,47.0,1827.0,3.0,35.0,1.0,1124.0
Poland,5823977,5293.0,113444.0,1.0,5190096.0,11864.0,520437.0,486.0,154170.0,3003.0,34594957.0,915785.0,37776302.0,Europe,6.0,333.0,1.0,140.0,0.03,13777.0
Japan,5772396,52002.0,26154.0,125.0,5167777.0,59971.0,578465.0,1175.0,45878.0,208.0,41031108.0,326110.0,125819733.0,Asia,22.0,4811.0,3.0,413.0,1.0,4598.0
Mexico,5606827,1191.0,321103.0,49.0,4897155.0,3053.0,388569.0,4798.0,42725.0,2447.0,15351490.0,116982.0,131229978.0,North America,23.0,409.0,9.0,9.0,0.4,2961.0
Ukraine,4906408,2256.0,107184.0,34.0,,,,177.0,113343.0,2476.0,19521252.0,450961.0,43288113.0,Europe,9.0,404.0,2.0,52.0,0.8,17123.0
Malaysia,3845601,22030.0,33899.0,92.0,3502760.0,33872.0,308942.0,388.0,116290.0,1025.0,52420694.0,1585183.0,33069172.0,Asia,9.0,976.0,1.0,666.0,3.0,9342.0
Israel,3725414,5970.0,10392.0,13.0,3675110.0,7664.0,39912.0,352.0,399465.0,1114.0,41373364.0,4436346.0,9326000.0,Asia,3.0,897.0,0.0,640.0,1.0,4280.0
South Africa,3695175,671.0,99725.0,,3577338.0,900.0,18112.0,546.0,61000.0,1646.0,23424639.0,386694.0,60576674.0,Africa,16.0,607.0,3.0,11.0,,299.0
Czechia,3686008,2745.0,39196.0,24.0,3580823.0,8055.0,65989.0,110.0,343118.0,3649.0,53085082.0,4941512.0,10742680.0,Europe,3.0,274.0,0.0,256.0,2.0,6143.0
Philippines,3671293,554.0,57625.0,15.0,3567412.0,820.0,46256.0,289.0,32764.0,514.0,28545001.0,254743.0,112054161.0,Asia,31.0,1945.0,4.0,5.0,0.1,413.0
Belgium,3654667,6545.0,30434.0,13.0,3375431.0,19616.0,248802.0,185.0,313029.0,2607.0,32112055.0,2750456.0,11675174.0,Europe,3.0,384.0,0.0,561.0,1.0,21310.0
Australia,3622884,26418.0,5591.0,5.0,3346229.0,22980.0,271064.0,110.0,139333.0,215.0,64674332.0,2487321.0,26001605.0,Australia/Oceania,7.0,4651.0,0.0,1016.0,0.2,10425.0
Peru,3536842,346.0,211579.0,33.0,,,,662.0,104793.0,6269.0,27960358.0,828439.0,33750640.0,South America,10.0,160.0,1.0,10.0,1.0,47543.0
Portugal,3380263,,21285.0,,2876177.0,,482801.0,70.0,333153.0,2098.0,37805639.0,3726059.0,10146280.0,Europe,3.0,477.0,0.0,,,47584.0
Canada,3367019,3201.0,36936.0,52.0,3218338.0,7500.0,111745.0,552.0,87904.0,964.0,58735152.0,1533420.0,38303372.0,North America,11.0,1037.0,1.0,84.0,1.0,2917.0
Chile,3314608,12861.0,44005.0,126.0,2542510.0,39202.0,728093.0,938.0,170905.0,2269.0,34161281.0,1761391.0,19394494.0,South America,6.0,441.0,1.0,663.0,6.0,37541.0
Thailand,3206955,22130.0,23781.0,69.0,2957288.0,23508.0,225886.0,687.0,45750.0,339.0,17270775.0,246384.0,70097057.0,Asia,22.0,2948.0,4.0,316.0,1.0,3222.0
Austria,3188147,34220.0,15221.0,14.0,2784996.0,30639.0,387930.0,192.0,350594.0,1674.0,166723590.0,18334255.0,9093557.0,Europe,3.0,597.0,0.0,3763.0,2.0,42660.0
Switzerland,3135084,15703.0,13422.0,4.0,2542111.0,42020.0,579551.0,132.0,357806.0,1532.0,19407324.0,2214951.0,8761967.0,Europe,3.0,653.0,0.0,1792.0,0.5,66144.0
Denmark,2816984,7534.0,5196.0,21.0,2628584.0,15687.0,183204.0,26.0,483453.0,892.0,126307689.0,21677029.0,5826799.0,Europe,2.0,1121.0,0.0,1293.0,4.0,31442.0
Romania,2794081,2087.0,64390.0,20.0,2606660.0,,123031.0,551.0,146902.0,3385.0,21562994.0,1133700.0,19020023.0,Europe,7.0,295.0,1.0,110.0,1.0,6468.0
Greece,2658296,22682.0,26635.0,73.0,2427867.0,15508.0,203794.0,364.0,257171.0,2577.0,69271836.0,6701543.0,10336699.0,Europe,4.0,388.0,0.0,2194.0,7.0,19716.0
Sweden,2470254,778.0,17841.0,2.0,2385377.0,5833.0,67036.0,47.0,242038.0,1748.0,18297871.0,1792842.0,10206072.0,Europe,4.0,572.0,1.0,76.0,0.2,6568.0
