"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,472400784,1147475,6116993,3638,408630134.0,1375947.0,57653657.0,61067,60605.0,784.8,0,0,,All
China,132226,2027,4638,0,106200.0,625.0,21388.0,39,92.0,3.0,160000000,111163,1439323776,Asia
USA,81452662,17095,998975,269,63254918.0,247412.0,17198769.0,3046,243624.0,2988.0,973730545,2912422,334337077,North America
India,43010971,1581,516574,58,42470515.0,2741.0,23882.0,8944,30650.0,368.0,782660658,557725,1403309897,Asia
Brazil,29641848,11364,657363,102,28214095.0,26742.0,770390.0,8318,137770.0,3055.0,63776166,296420,215155037,South America
France,24161339,24179,141085,152,22641676.0,79764.0,1378578.0,1695,368754.0,2153.0,246629975,3764099,65521647,Europe
UK,20361109,79859,163679,56,18663840.0,41335.0,1533590.0,292,297248.0,2390.0,497283314,7259756,68498631,Europe
Germany,18866226,182939,127541,109,14680700.0,151900.0,4057985.0,2494,223947.0,1514.0,104701826,1242837,84244187,Europe
Russia,17611401,28709,364901,409,16271880.0,61938.0,974620.0,2300,120591.0,2499.0,273400000,1872065,146041966,Europe
Turkey,14708850,14933,97347,80,14342771.0,18537.0,268732.0,975,171236.0,1133.0,150962444,1757464,85897906,Asia
Italy,13895727,33112,157904,119,12562004.0,30870.0,1175819.0,463,230409.0,2618.0,195930717,3248776,60309089,Europe
Spain,11365248,13537,101967,88,10676640.0,34125.0,586641.0,682,242920.0,2179.0,471036328,10067914,46785890,Europe
S. Korea,9582815,209169,12757,329,,,,1130,186636.0,248.0,15804065,307802,51344987,Asia
Argentina,9011367,3614,127599,105,8817286.0,4780.0,66482.0,678,196291.0,2779.0,35099441,764557,45908177,South America
Vietnam,8208179,133641,41949,69,4282668.0,179640.0,3883562.0,4169,83043.0,424.0,83048614,840207,98843026,Asia
Netherlands,7543318,31921,21796,3,6024325.0,33589.0,1497197.0,151,438565.0,1267.0,21107399,1227174,17200006,Europe
Iran,7142289,1258,139662,52,6828714.0,6193.0,173913.0,1936,83205.0,1627.0,48534882,565415,85839420,Asia
Japan,6102134,40195,27119,74,5567723.0,51133.0,507292.0,951,48502.0,216.0,42017322,333971,125811308,Asia
Colombia,6081639,508,139471,19,5914192.0,889.0,27976.0,342,117373.0,2692.0,33705356,650501,51814460,South America
Indonesia,5967182,4699,153892,154,5609945.0,20888.0,203345.0,2771,21427.0,553.0,90519968,325036,278491735,Asia
Poland,5895314,4175,114222,4,5243455.0,11567.0,537637.0,414,156062.0,3024.0,35060341,928126,37775399,Europe
Mexico,5634829,901,322092,20,4929271.0,2242.0,383466.0,4798,42929.0,2454.0,15450810,117712,131259569,North America
Ukraine,4936765,1731,107597,26,,,,177,114059.0,2486.0,19521252,451021,43282400,Europe
Malaysia,4010952,17828,34463,63,3712668.0,28003.0,263821.0,358,121257.0,1042.0,53739206,1624609,33078235,Asia
Australia,3943245,40132,5736,6,3557142.0,30267.0,380367.0,87,151616.0,221.0,65374596,2513627,26008070,Australia/Oceania
Israel,3785813,13055,10431,0,3720870.0,9306.0,54512.0,333,405942.0,1118.0,41373364,4436346,9326000,Asia
Czechia,3740247,2275,39402,20,3634462.0,8131.0,66383.0,107,348153.0,3668.0,54384187,5062238,10743112,Europe
Belgium,3721468,7246,30560,15,3453989.0,11503.0,236919.0,181,318721.0,2617.0,32372165,2772474,11676274,Europe
South Africa,3704784,566,99890,9,3590266.0,815.0,14628.0,546,61142.0,1649.0,23599964,389483,60593017,Africa
Philippines,3674694,415,58276,13,3571397.0,575.0,45021.0,289,32785.0,520.0,28709051,256134,112086044,Asia
Peru,3541994,597,211924,59,,,,587,104915.0,6277.0,28259007,837039,33760682,South America
Austria,3498075,31872,15432,23,3044808.0,41705.0,437835.0,217,384629.0,1697.0,170965802,18798443,9094679,Europe
Portugal,3458727,0,21408,0,,,,66,340908.0,2110.0,39497750,3893079,10145633,Europe
Canada,3404782,2783,37209,40,3244682.0,4839.0,122891.0,409,88873.0,971.0,58999169,1540022,38310597,North America
Chile,3401145,7555,55965,123,2776466.0,35429.0,568714.0,777,175334.0,2885.0,34771541,1792525,19398077,South America
