"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,480055511,499953,6143218,799,414426827.0,253557.0,59485466.0,59687,61587.0,788.1,0,0,,All
USA,81600890,0,1003198,0,64070163.0,0.0,16527529.0,2548,244056.0,3000.0,977947531,2924896,334352957,North America
India,43018032,0,520885,0,42480436.0,0.0,16711.0,8944,30652.0,371.0,785644225,559807,1403421018,Asia
Brazil,29802257,0,658626,0,28433713.0,0.0,709918.0,8318,138507.0,3061.0,63776166,296403,215167403,South America
France,24779882,0,141564,0,22870434.0,0.0,1767884.0,1564,378187.0,2161.0,254106036,3878130,65522828,Europe
UK,20691123,0,164454,0,18783177.0,0.0,1743492.0,302,302053.0,2401.0,500714605,7309537,68501548,Europe
Germany,20018465,0,128757,0,15646000.0,127300.0,4243708.0,2494,237618.0,1528.0,104701826,1242805,84246377,Europe
Russia,17715390,0,366618,0,16545758.0,0.0,803014.0,2300,121303.0,2510.0,273400000,1872058,146042477,Europe
Turkey,14775634,0,97666,0,14423782.0,0.0,254186.0,975,171999.0,1137.0,152146925,1771100,85905340,Asia
Italy,14229495,0,158582,0,12824463.0,0.0,1246450.0,447,235946.0,2630.0,198135632,3285376,60308363,Europe
S. Korea,11497711,335479,14617,323,,,,1164,223929.0,285.0,15804065,307799,51345347,Asia
Spain,11451676,0,102392,0,10755608.0,0.0,593676.0,510,244767.0,2189.0,471036328,10067882,46786038,Europe
Argentina,9023812,0,127846,0,8831906.0,0.0,64060.0,607,196548.0,2785.0,35236575,767488,45911573,South America
Vietnam,8761252,0,42196,0,5001564.0,0.0,3717492.0,3889,88632.0,427.0,83048614,840146,98850197,Asia
Netherlands,7700715,0,21871,0,6171905.0,0.0,1506939.0,156,447708.0,1272.0,21107399,1227152,17200316,Europe
Iran,7147407,0,139917,0,6846230.0,0.0,161260.0,1707,83256.0,1630.0,48991010,570670,85848232,Asia
Japan,6287107,48228,27601,116,5830955.0,60806.0,428551.0,707,49974.0,219.0,42683814,339277,125808148,Asia
Colombia,6082943,0,139544,0,5915963.0,0.0,27436.0,342,117388.0,2693.0,33791079,652099,51818903,South America
Indonesia,5991687,0,154463,0,5691220.0,0.0,146004.0,2771,21513.0,555.0,91247204,327620,278515429,Asia
Poland,5933107,0,114736,0,5277322.0,0.0,541049.0,358,157064.0,3037.0,35344642,935661,37775061,Europe
Mexico,5647041,3078,322634,202,4944194.0,2853.0,380213.0,4798,43018.0,2458.0,15505265,118117,131270665,North America
Ukraine,4952913,0,107811,0,,,,177,114438.0,2491.0,19521252,451043,43280258,Europe
Australia,4232521,51679,5882,30,3732928.0,0.0,493711.0,100,162724.0,226.0,65919439,2534340,26010494,Australia/Oceania
Malaysia,4101081,0,34717,0,3819299.0,0.0,247065.0,291,123969.0,1049.0,54416437,1644914,33081634,Asia
Israel,3835700,0,10460,0,3754540.0,0.0,70700.0,300,411291.0,1122.0,41373364,4436346,9326000,Asia
Czechia,3784532,7630,39527,8,3672240.0,9382.0,72765.0,103,352270.0,3679.0,54554105,5077977,10743275,Europe
Belgium,3782085,10852,30686,24,3498379.0,8446.0,253020.0,167,323901.0,2628.0,32630945,2794538,11676686,Europe
South Africa,3710766,0,99939,0,3596991.0,0.0,13836.0,546,61235.0,1649.0,23701064,391112,60599146,Africa
Philippines,3676230,0,58831,0,3573250.0,0.0,44149.0,289,32795.0,525.0,28807213,256982,112098000,Asia
Austria,3665003,0,15619,0,3209448.0,0.0,439936.0,240,402965.0,1717.0,172904852,19010772,9095099,Europe
Peru,3544338,0,212050,0,,,,509,104972.0,6280.0,28459124,842872,33764448,South America
Portugal,3534003,0,21545,0,,,,64,348336.0,2124.0,39734174,3916476,10145390,Europe
Thailand,3503264,26234,24718,67,3228284.0,20013.0,250262.0,1496,49974.0,353.0,17270775,246365,70102306,Asia
Canada,3436519,0,37411,0,3263720.0,0.0,135388.0,409,89695.0,976.0,59181662,1544676,38313306,North America
Chile,3434908,0,56222,0,2866998.0,0.0,511688.0,707,177062.0,2898.0,35092861,1808964,19399420,South America
Switzerland,3403549,0,13646,0,2710844.0,0.0,679059.0,150,388362.0,1557.0,20493186,2338373,8763866,Europe
Greece,2900334,0,27160,0,2608489.0,0.0,264685.0,346,280627.0,2628.0,72632740,7027722,10335176,Europe
Denmark,2889288,0,5542,0,2790878.0,0.0,92868.0,19,495810.0,951.0,126668057,21736592,5827411,Europe
Romania,2835749,0,64867,0,2606660.0,0.0,164222.0,415,149123.0,3411.0,21924341,1152930,19016187,Europe
Sweden,2481736,0,18155,0,2419962.0,3243.0,43619.0,32,243118.0,1779.0,18382831,1800833,10207962,Europe
Iraq,2317498,0,25145,0,2277871.0,0.0,14482.0,62,55470.0,602.0,18278080,437490,41779376,Asia
Serbia,1966078,0,15737,0,1912122.0,0.0,38219.0,42,226595.0,1814.0,9108141,1049733,8676623,Europe
Bangladesh,1951174,0,29118,0,1876148.0,0.0,45908.0,1264,11647.0,174.0,13772647,82214,167521186,Asia
Hungary,1839358,0,45258,0,1693393.0,0.0,100707.0,70,191241.0,4706.0,11053112,1149210,9618010,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162779.0,1349.0,16575546,1597188,10377953,Asia
Slovakia,1674586,0,19229,0,1537204.0,0.0,118153.0,186,306465.0,3519.0,6798172,1244128,5464207,Europe
Georgia,1645959,658,16704,6,1615166.0,3478.0,14089.0,0,413979.0,4201.0,16306613,4101312,3975950,Asia
Pakistan,1523590,189,30340,4,1485085.0,367.0,8165.0,451,6674.0,133.0,27328286,119708,228291876,Asia
Ireland,1422945,0,6710,0,1277469.0,0.0,138766.0,55,282724.0,1333.0,11724746,2329584,5032978,Europe
Norway,1395556,0,2339,0,,,,20,253996.0,426.0,9852076,1793110,5494408,Europe
Kazakhstan,1305017,34,13658,1,1286771.0,797.0,4588.0,528,68096.0,713.0,11575012,603988,19164312,Asia
Morocco,1162841,0,16056,0,1146202.0,0.0,583.0,293,30873.0,426.0,11237010,298336,37665587,Africa
Bulgaria,1132398,0,36425,0,906769.0,0.0,189204.0,235,165117.0,5311.0,9538215,1390782,6858165,Europe
Hong Kong,1111629,0,6962,0,,,,115,146229.0,916.0,36260319,4769864,7601961,Asia
