"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,490733124,1025055,6173918,2737,425623712.0,1056144.0,58935494.0,56178,62956.0,792.1,0,0,,All
China,153232,2129,4638,0,121466.0,4307.0,27128.0,58,106.0,3.0,160000000,111163,1439323776,Asia
USA,81826371,12661,1008159,150,65525974.0,142983.0,15292238.0,1889,244700.0,3015.0,984909365,2945344,334395303,North America
India,43028131,1096,521374,81,42493773.0,1447.0,12984.0,8944,30653.0,371.0,790298979,563004,1403717340,Asia
Brazil,29995638,20473,660192,127,28758676.0,18989.0,576770.0,8318,139385.0,3068.0,63776166,296357,215200379,South America
France,25895586,132114,142475,68,23371737.0,60288.0,2381374.0,1486,395196.0,2174.0,254106036,3877944,65525975,Europe
Germany,21588614,128639,130529,187,16886200.0,132200.0,4571885.0,2494,256238.0,1549.0,104701826,1242719,84252217,Europe
UK,21216874,0,165570,0,19075703.0,0.0,1975601.0,356,309693.0,2417.0,505708151,7381596,68509327,Europe
Russia,17880038,17949,369404,340,16929332.0,44547.0,581302.0,2300,122429.0,2529.0,273400000,1872041,146043840,Europe
Turkey,14885710,11783,98119,41,14560209.0,13421.0,227382.0,975,173240.0,1142.0,154284699,1795571,85925166,Asia
Italy,14792227,72224,159666,129,13353529.0,65159.0,1279032.0,493,245284.0,2648.0,201899959,3347901,60306427,Europe
S. Korea,13639915,264097,16929,339,,,,1165,265645.0,330.0,15804065,307794,51346309,Asia
Spain,11551574,0,102541,0,10918903.0,0.0,530130.0,420,246900.0,2192.0,471036328,10067798,46786432,Europe
Vietnam,9716282,65619,42563,37,7713354.0,106878.0,1960365.0,2276,98274.0,430.0,84490344,854566,98869321,Asia
Argentina,9040640,802,128059,7,8866417.0,2643.0,46164.0,487,196875.0,2789.0,35444919,771874,45920629,South America
