Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
World,452081269,+707538,6045752,+2404,386523224,+717583,59512293,67728,57998,775.6,,,
USA,81064103,,989473 ,,55429994,,24644636,5158,242512,2960,961448814,2876279,334268263 
India,42980067,,515490 ,,42420120,,44457,8944,30638,367,776082445,553227,1402828373 
Brazil,29194042,,653588 ,,27470786,,1069668,8318,135722,3039,63776166,296493,215101451 
France,23234062,,139773 ,,21928862,,1165427,1962,354629,2133,246629975,3764393,65516532 
UK,19373884,,162482 ,,18138356,,1073046,275,282888,2372,488292589,7129817,68485991 
Russia,17191300,+51231,358911 ,+665,15043717,+148634,1788672,2300,117717,2458,273400000,1872093,146039751 
Germany,16336336,,125515 ,,12963800,+210100,3247021,2494,193938,1490,104701826,1242977,84234696 
Turkey,14458881,,95954 ,,13951247,,411680,975,168390,1117,147197493,1714276,85865689 
Italy,13159342,,156357 ,,12001063,,1001922,563,218187,2592,190933832,3165756,60312234 
Spain,11181510,,100992 ,,10214067,,866451,743,238996,2159,471036328,10068052,46785249 
Argentina,8955458,,126955 ,,8753450,,75053,916,195136,2766,34641140,754816,45893460 
Iran,7113591,+6424,138572 ,+139,6761892,+7658,213127,3176,82908,1615,48036013,559852,85801235 
Netherlands,6912110,,21634 ,,5139026,,1751450,168,401898,1258,21107399,1227270,17198663 
Colombia,6074155,,139189 ,,5904365,,30601,342,117273,2687,33427450,645377,51795208 
Indonesia,5847900,+21311,151413 ,+278,5296634,+38399,399853,2771,21006,544,88544248,318059,278389064 
Poland,5788363,+13438,113186 ,+184,5160958,+8460,514219,557,153225,2996,34365607,909700,37776866 
Mexico,5583773,+8165,320410 ,+244,4863376,,399987,4798,42556,2442,15287662,116512,131211484 
Japan,5546271,+62747,25486 ,+205,4911283,+61591,609502,1322,44079,203,40484358,321751,125824999 
S. Korea,5539650,+327532,9646 ,+206,969524,,4560480,1113,107894,188,15804065,307811,51343425 
Vietnam,5042036,,41086 ,,2855214,,2145736,3878,51027,416,80763591,817346,98811950 
Ukraine,4882361,,106784 ,,N/A,N/A,N/A,177,112778,2467,19521252,450924,43291683 
Malaysia,3711199,,33497 ,,3367542,,310160,388,112245,1013,51319407,1552147,33063507 
Israel,3690981,,10322 ,,3634202,,46457,410,395773,1107,41373364,4436346,9326000 
South Africa,3688423,,99656 ,,3569538,,19229,546,60899,1645,23314522,384941,60566459 
Philippines,3669283,,57182 ,,3564630,,47471,289,32751,510,28428336,253747,112034234 
Czechia,3662117,+9034,39068 ,+14,3541089,+4503,81960,142,340903,3637,52980025,4931857,10742409 
Belgium,3609122,,30313 ,,3300995,+15405,277814,206,309146,2597,31979911,2739299,11674486 
Peru,3530004,,211301 ,,N/A,N/A,N/A,743,104610,6262,27740350,822074,33744364 
Australia,3500734,+38073,5520 ,+22,3250184,+26984,245030,113,134656,212,64351597,2475293,25997564 
Portugal,3367469,,21267 ,,2867858,,478344,72,331879,2096,37805639,3725911,10146684 
Canada,3342123,,37143 ,,3193127,,111853,552,87264,970,58577551,1529486,38298856 
Chile,3230793,,43283 ,,2363592,,823918,1036,166602,2232,33721518,1738917,19392255 
Thailand,3111857,+22984,23515 ,+74,2868011,+24161,220331,687,44395,335,17270775,246392,70094671 
Switzerland,3026923,+17994,13361 ,+4,2447480,+32216,566082,141,345496,1525,19192127,2190606,8761103 
Austria,3022079,+49432,15136 ,+23,2671393,+27452,335550,179,332357,1665,164876915,18132575,9092857 
Romania,2784651,+3565,64226 ,+60,2606660,,113765,630,146393,3376,21466696,1128533,19021767 
Denmark,2783384,+13503,5049 ,+41,2559518,+23728,218817,26,477709,867,126140210,21649319,5826521 
Greece,2561503,,26366 ,,2343150,,191987,360,247790,2551,68111278,6588827,10337391 
Sweden,2465099,,17716 ,,2356320,+19558,91063,54,241553,1736,18297871,1792992,10205214 
Iraq,2311238,+699,25090 ,+8,2262122,+1289,24026,89,55372,601,18113388,433959,41739823 
Bangladesh,1948798,+327,29100 ,+3,1855249,+2879,64449,1264,11638,174,13600387,81221,167449514 
Serbia,1932814,,15512 ,,1863749,,53553,73,222722,1787,8877539,1022976,8678154 
Hungary,1812294,+2377,44603 ,+54,1646037,+4781,121654,117,188406,4637,10907123,1133905,9619078 
Jordan,1654677,,13882 ,,1572386,,68409,694,159510,1338,16319298,1573168,10373528 
Georgia,1631900,+1970,16485 ,+29,1578178,+7294,37237,,410408,4146,16039231,4033725,3976283 
Slovakia,1546510,+12066,18817 ,+31,1389931,+15147,137762,215,283031,3444,6561449,1200831,5464092 
Pakistan,1516789,+639,30291 ,+4,1468449,+581,18049,707,6650,133,26785763,117428,228104063 
Norway,1333793,,1753 ,,88952,,1243088,17,242836,319,9852076,1793714,5492557 
Ireland,1328644,,6578 ,,1218284,+3773,103782,41,264114,1308,11495585,2285147,5030567 
Kazakhstan,1304101,+89,13639 ,,1278409,+1007,12053,528,68083,712,11575012,604297,19154496 
Morocco,1161848,,16029 ,,1144337,,1482,293,30862,426,11237010,298488,37646466 
Bulgaria,1107888,,35995 ,,866213,,205680,365,161489,5247,9324207,1359127,6860438 
Lebanon,1081463,,10176 ,,967949,,103338,186,159649,1502,4795578,707937,6774017 
Cuba,1074469,,8502 ,,1063575,,2392,23,94960,751,12920253,1141871,11314984 
Croatia,1069317,+1728,15294 ,+18,1043768,+1171,10255,57,263205,3765,4568162,1124423,4062671 
Tunisia,1017907,,27989 ,,976839,,13079,157,84638,2327,4419369,367465,12026650 
Nepal,977786,+77,11949 ,,960497,+429,5340,100,32573,398,5469595,182210,30018025 
Lithuania,950602,+5176,8599 ,+11,862534,+4940,79469,71,357586,3235,7863704,2958075,2658386 
Belarus,935684,+1497,6618 ,+10,928536,+1522,530,,99076,701,12582380,1332302,9444093 
Slovenia,912193,+2305,6388 ,+6,881094,+2360,24711,85,438677,3072,2584542,1242915,2079419 
Bolivia,896315,+461,21470 ,,803321,+1479,71524,220,75063,1798,2682016,224609,11940836 
Singapore,885593,,1110 ,,824461,,60022,24,149398,187,23315251,3933239,5927748 
UAE,884354,+369,2302 ,,846695,+1225,35357,,87634,228,141546403,14026430,10091406 
Uruguay,859165,,7069 ,,839702,,12394,92,245898,2023,5783704,1655332,3493985 
Ecuador,843760,,35316 ,,N/A,N/A,N/A,759,46633,1952,2470170,136522,18093623 
Costa Rica,820445,,8142 ,,714949,,97354,100,158621,1574,3801529,734968,5172373 
Guatemala,798400,+2592,17116 ,+10,749829,+3870,31455,5,43220,927,4032919,218316,18472824 
Azerbaijan,789883,,9558 ,,777396,,2929,,76740,929,6611402,642325,10292920 
Panama,758613,,8125 ,,747483,,3005,26,171283,1835,5570079,1257639,4428996 
Saudi Arabia,748311,+190,9014 ,+1,729661,+455,9636,351,20946,252,41168491,1152350,35725687 
