"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,468237552,1820599,6093742,5252,399287576.0,1435577.0,62856234.0,62430,60071.0,781.8,0,0,,All
China,126234,2461,4636,0,104624.0,337.0,16974.0,18,88.0,3.0,160000000,111163,1439323776,Asia
USA,81391773,32760,997518,757,56975477.0,152897.0,23418778.0,3362,243454.0,2984.0,970918607,2904149,334321197,North America
India,43006080,2075,516381,69,42461926.0,3383.0,27773.0,8944,30649.0,368.0,781858171,557197,1403198776,Asia
Brazil,29576397,48757,656867,380,28163904.0,37257.0,755626.0,8318,137473.0,3053.0,63776166,296437,215142671,South America
France,23957773,97579,140841,112,22506003.0,53507.0,1310929.0,1695,365653.0,2150.0,246629975,3764167,65520467,Europe
UK,20093762,90349,163511,125,18541447.0,34446.0,1388804.0,292,293358.0,2387.0,495276718,7230769,68495714,Europe
Germany,18424575,284050,127289,217,14323500.0,181000.0,3973786.0,2494,218710.0,1511.0,104701826,1242870,84241997,Europe
Russia,17518699,34442,363563,524,16039709.0,105064.0,1115427.0,2300,119957.0,2489.0,273400000,1872071,146041454,Europe
Turkey,14663508,19126,97077,123,14291702.0,20274.0,274729.0,975,170723.0,1130.0,150124082,1747855,85890471,Asia
Italy,13726155,77994,157607,165,12446583.0,46408.0,1121965.0,474,227594.0,2613.0,194863984,3231049,60309815,Europe
Spain,11324637,21533,101703,95,10571203.0,22807.0,651731.0,682,242053.0,2174.0,471036328,10067946,46785742,Europe
Argentina,9004829,14416,127439,76,8803205.0,5657.0,74185.0,691,196163.0,2776.0,35025226,762997,45904781,South America
S. Korea,8657609,407017,11782,301,,,,1049,168618.0,229.0,15804065,307804,51344627,Asia
Vietnam,7641223,169245,41740,57,3861959.0,175971.0,3737524.0,4144,77312.0,422.0,82412626,833833,98835854,Asia
Netherlands,7435118,54216,21774,19,5885105.0,63852.0,1528239.0,151,432282.0,1266.0,21107399,1227196,17199696,Europe
Iran,7137894,2175,139478,91,6812005.0,6924.0,186411.0,2167,83163.0,1625.0,48534882,565473,85830608,Asia
Colombia,6079896,665,139415,29,5912154.0,705.0,28327.0,342,117350.0,2691.0,33647572,649441,51810017,South America
Japan,5966996,55183,26764,164,5401611.0,56852.0,538621.0,991,47427.0,213.0,41672987,331226,125814467,Asia
Indonesia,5948610,9528,153411,199,5549220.0,25827.0,245979.0,2771,21362.0,551.0,90155919,323757,278468042,Asia
Poland,5875067,11655,114087,107,5223340.0,7442.0,537640.0,434,155525.0,3020.0,34916243,924303,37775738,Europe
Mexico,5624954,5174,321806,187,4917930.0,5276.0,385218.0,4798,42857.0,2452.0,15413920,117441,131248472,North America
Ukraine,4928032,5131,107477,65,,,,177,113852.0,2483.0,19521252,450998,43284542,Europe
Malaysia,3951678,24241,34244,59,3623068.0,26615.0,294366.0,383,119477.0,1035.0,53237993,1609622,33074837,Asia
Australia,3816633,48677,5694,29,3472209.0,29235.0,338730.0,92,146762.0,219.0,65109379,2503663,26005646,Australia/Oceania
Israel,3751049,5641,10417,0,3698791.0,6625.0,41841.0,291,402214.0,1117.0,41373364,4436346,9326000,Asia
Czechia,3724402,8155,39342,29,3608394.0,12686.0,76666.0,135,346683.0,3662.0,54322163,5056541,10742950,Europe
South Africa,3702042,1558,99868,39,3587145.0,1542.0,15029.0,546,61103.0,1648.0,23543564,388592,60586888,Africa
Belgium,3696059,12275,30510,18,3429809.0,12742.0,235740.0,181,316556.0,2613.0,32331016,2769048,11675861,Europe
Philippines,3673192,536,57999,119,3569711.0,324.0,45482.0,289,32775.0,518.0,28649322,255628,112074088,Asia
Peru,3540108,708,211751,60,,,,597,104871.0,6273.0,28158045,834142,33756916,South America
Portugal,3458727,9808,21408,16,,,,66,340900.0,2110.0,37805639,3726208,10145875,Europe
Canada,3394348,8178,37150,46,3236619.0,3530.0,120579.0,510,88607.0,970.0,58924697,1538187,38307887,North America
Austria,3387012,51112,15344,24,2926418.0,39245.0,445250.0,207,372434.0,1687.0,169566273,18645421,9094258,Europe
Chile,3369324,15145,44339,93,2667517.0,32696.0,657468.0,851,173706.0,2286.0,34515210,1779434,19396733,South America
Thailand,3303169,27071,24078,80,3048491.0,21522.0,230600.0,687,47121.0,343.0,17270775,246375,70099443,Asia
Switzerland,3253776,15091,13467,4,2610682.0,20024.0,629627.0,146,371316.0,1537.0,19698846,2248000,8762830,Europe
Denmark,2850170,6809,5338,38,2697097.0,19135.0,147735.0,27,489125.0,916.0,126478393,21705289,5827077,Europe
Romania,2810630,3749,64634,38,2606660.0,0.0,139336.0,465,147786.0,3399.0,21713083,1141695,19018280,Europe
Greece,2756487,23621,26847,55,2481680.0,9151.0,247960.0,354,266688.0,2597.0,70675555,6837801,10336007,Europe
Sweden,2475687,0,18020,0,2400581.0,4009.0,57086.0,42,242550.0,1765.0,18342988,1797111,10206931,Europe
Iraq,2315573,439,25124,5,2271797.0,988.0,18652.0,65,55444.0,602.0,18216502,436171,41764544,Asia
Serbia,1952029,2076,15662,15,1895328.0,2689.0,41039.0,47,224961.0,1805.0,9004798,1037754,8677197,Europe
Bangladesh,1950465,108,29114,2,1868620.0,1459.0,52731.0,1264,11645.0,174.0,13701702,81804,167494309,Asia
