"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,484179897,856054,6153536,1881,418262782.0,586625.0,59763579.0,58272,62116.0,789.4,0,0,,All
USA,81658973,0,1004244,0,64683169.0,0.0,15971560.0,2270,244218.0,3003.0,979700827,2930000,334368837,North America
India,43021982,0,521098,0,42485534.0,0.0,15350.0,8944,30653.0,371.0,787355354,560981,1403532139,Asia
Brazil,29852341,0,659012,0,28550311.0,0.0,643018.0,8318,138732.0,3063.0,63776166,296386,215179769,South America
France,25059028,0,141821,0,23023051.0,0.0,1894156.0,1486,382440.0,2164.0,254106036,3878060,65524008,Europe
UK,20905515,0,164671,0,18903733.0,0.0,1837111.0,302,305170.0,2404.0,500714605,7309226,68504466,Europe
Germany,20634572,169500,129360,254,16092900.0,219500.0,4412312.0,2494,244925.0,1535.0,104701826,1242773,84248567,Europe
Russia,17803503,19660,368025,339,16737206.0,47229.0,698272.0,2300,121906.0,2520.0,273400000,1872052,146042988,Europe
Turkey,14815041,0,97861,0,14475383.0,0.0,241797.0,975,172443.0,1139.0,152938450,1780160,85912775,Asia
Italy,14396283,0,158877,0,12983350.0,0.0,1254056.0,487,238714.0,2634.0,199235675,3303656,60307637,Europe
S. Korea,12350428,347374,15423,237,,,,1215,240535.0,300.0,15804065,307797,51345708,Asia
Spain,11451676,0,102392,0,10755608.0,0.0,593676.0,510,244766.0,2189.0,471036328,10067851,46786186,Europe
Vietnam,9274849,0,42358,0,5474708.0,0.0,3757783.0,3401,93821.0,428.0,84027988,849992,98857369,Asia
Argentina,9028730,0,127943,0,8852314.0,0.0,48473.0,550,196640.0,2787.0,35298948,768790,45914969,South America
Netherlands,7806076,30729,21924,16,6310864.0,27373.0,1473288.0,144,453825.0,1275.0,21107399,1227130,17200626,Europe
Iran,7156746,2743,140109,46,6863298.0,4526.0,153339.0,1477,83357.0,1632.0,48991010,570611,85857043,Asia
Japan,6410635,32916,27831,64,5967961.0,44621.0,414843.0,673,50957.0,221.0,42984629,341677,125804988,Asia
Colombia,6083939,0,139585,0,5917027.0,0.0,27327.0,342,117398.0,2693.0,33853193,653242,51823346,South America
Indonesia,6005646,3895,154882,108,5735055.0,10092.0,115709.0,2771,21561.0,556.0,91760483,329435,278539122,Asia
Poland,5952200,6608,114939,110,5304270.0,10772.0,532991.0,336,157571.0,3043.0,35534904,940706,37774722,Europe
Mexico,5651553,657,322761,11,4950686.0,1775.0,378106.0,4798,43049.0,2459.0,15527815,118279,131281762,North America
Ukraine,4959082,0,107861,0,,,,177,114586.0,2492.0,19521252,451065,43278115,Europe
Australia,4386542,60248,5926,29,3850408.0,0.0,530208.0,119,168629.0,228.0,66250653,2546837,26012918,Australia/Oceania
Malaysia,4152203,0,34842,0,3896489.0,0.0,220872.0,288,125501.0,1053.0,55851665,1688125,33085033,Asia
Israel,3876122,0,10485,0,3782095.0,0.0,83542.0,278,415625.0,1124.0,41373364,4436346,9326000,Asia
Belgium,3807447,7281,30747,16,3518571.0,11582.0,258129.0,163,326061.0,2633.0,32719965,2802063,11677099,Europe
Czechia,3799158,8812,39610,11,3697202.0,8371.0,62346.0,93,353626.0,3687.0,54614357,5083509,10743437,Europe
Austria,3770412,22830,15764,58,3371749.0,40058.0,382899.0,238,414535.0,1733.0,174441569,19178847,9095519,Europe
South Africa,3713833,0,99970,0,3600227.0,0.0,13636.0,546,61279.0,1650.0,23757304,392001,60605275,Africa
Philippines,3677616,246,59038,8,3577433.0,933.0,41145.0,289,32804.0,527.0,28888596,257681,112109956,Asia
Thailand,3575398,21678,24961,78,3305286.0,27183.0,245151.0,1496,51002.0,356.0,17270775,246360,70103738,Asia
Peru,3545628,0,212157,0,,,,492,104999.0,6283.0,28614628,847384,33768214,South America
Portugal,3534003,0,21545,0,,,,64,348344.0,2124.0,39851361,3928121,10145147,Europe
Chile,3458499,3439,56464,18,2986425.0,25227.0,415610.0,641,178266.0,2910.0,35348678,1822025,19400764,South America
Switzerland,3452039,11498,13673,3,2770129.0,11060.0,668237.0,142,393871.0,1560.0,20199118,2304682,8764384,Europe
Canada,3450363,0,37455,0,3268869.0,0.0,144039.0,384,90050.0,978.0,59252292,1546411,38316016,North America
Greece,2986882,29072,27392,51,2705525.0,24183.0,253965.0,351,289013.0,2650.0,73486501,7110614,10334761,Europe
Denmark,2904052,4250,5585,0,2820819.0,9420.0,77648.0,22,498329.0,958.0,126756345,21751123,5827577,Europe
Romania,2847015,4276,64958,44,2606660.0,0.0,175397.0,398,149724.0,3416.0,22028806,1158488,19015141,Europe
