Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
World,453639251,+364821,6051079,+519,387593049,+59564,59995123,67472,58198,776.3,,,
USA,81108786,,991260 ,,55600175,,24517351,4888,242642,2965,962617214,2879729,334273557 
India,42983723,,515745 ,,42420120,,47858,8944,30640,368,776082445,553212,1402865413 
Brazil,29249903,,654147 ,,27556598,,1039158,8318,135979,3041,63776166,296488,215105573 
France,23308880,,139880 ,,22011308,,1157692,1962,355769,2135,246629975,3764370,65516925 
UK,19457976,,162624 ,,18182482,,1112870,266,284112,2375,489082431,7141249,68486963 
Russia,17191300,,358911 ,,15043717,,1788672,2300,117716,2458,273400000,1872091,146039921 
Germany,16636606,,125669 ,,12963800,,3547137,2494,197501,1492,104701826,1242967,84235426 
Turkey,14488373,,96094 ,,14013492,,378787,975,168728,1119,147556339,1718406,85868167 
Italy,13214498,,156493 ,,12086850,,971155,545,219102,2595,191387173,3173286,60311992 
Spain,11204125,,101077 ,,10254207,,848841,725,239480,2160,471036328,10068042,46785298 
Argentina,8961595,,127009 ,,8758109,,76477,861,195265,2767,34692713,755922,45894592 
Iran,7113591,,138572 ,,6761892,,213127,3176,82905,1615,48036013,559833,85804173 
Netherlands,6986628,,21675 ,,5328362,,1636591,159,406228,1260,21107399,1227262,17198766 
Colombia,6074874,,139220 ,,5905559,,30095,342,117283,2688,33454522,645881,51796689 
Indonesia,5847900,,151413 ,,5296634,,399853,2771,21006,544,88544248,318050,278396962 
S. Korea,5822626,+282976,9875 ,+229,N/A,N/A,N/A,1116,113405,192,15804065,307810,51343545 
Poland,5788363,,113186 ,,5160958,,514219,557,153226,2996,34365607,909703,37776753 
Mexico,5591871,+8098,320607 ,+197,4880174,+16798,391090,4798,42616,2443,15308764,116669,131215183 
Japan,5546271,,25486 ,,4911283,,609502,1322,44080,203,40484358,321754,125823946 
Vietnam,5260495,,41157 ,,2908365,,2310973,4044,53236,417,80924444,818954,98814340 
Ukraine,4888473,,106899 ,,N/A,N/A,N/A,177,112921,2469,19521252,450931,43290969 
Malaysia,3741986,,33567 ,,3393999,,314420,389,113172,1015,51578408,1559926,33064640 
Israel,3704116,,10358 ,,3641612,,52146,390,397182,1111,41373364,4436346,9326000 
South Africa,3690291,,99681 ,,3571758,,18852,546,60928,1646,23314522,384928,60568502 
Philippines,3669283,,57182 ,,3564630,,47471,289,32750,510,28428336,253738,112038220 
Czechia,3662117,,39068 ,,3541089,,81960,142,340901,3637,52980025,4931832,10742463 
Belgium,3620262,,30354 ,,3314479,,275429,197,310097,2600,32027795,2743368,11674624 
Peru,3530004,,211301 ,,N/A,N/A,N/A,743,104606,6262,27740350,822043,33745619 
Australia,3527621,+26887,5548 ,+28,3250184,,271889,100,135686,213,64424444,2478018,25998373 
Portugal,3380263,,21285 ,,2876177,,482801,70,333142,2098,37805639,3725940,10146603 
Canada,3350160,,37232 ,,3200818,,112110,552,87472,972,58613554,1530390,38299759 
Chile,3249890,,43527 ,,2389209,,817154,1011,167583,2245,33817368,1743819,19392703 
Thailand,3136649,+24792,23578 ,+63,2890076,+22065,222995,687,44748,336,17270775,246390,70095148 
Switzerland,3026923,,13361 ,,2447480,,566082,141,345489,1525,19192127,2190563,8761276 
Austria,3022079,,15136 ,,2671393,,335550,179,332352,1665,164876915,18132296,9092997 
Romania,2784651,,64226 ,,2606660,,113765,630,146396,3377,21466696,1128554,19021418 
Denmark,2783384,,5049 ,,2559477,,218858,26,477705,867,126140210,21649111,5826577 
Greece,2583366,,26424 ,,2370821,,186121,359,249908,2556,68363846,6613348,10337252 
Sweden,2465099,,17716 ,,2356320,,91063,54,241549,1736,18297871,1792962,10205385 
Iraq,2311238,,25090 ,,2262122,,24026,89,55369,601,18113388,433934,41742295 
Bangladesh,1948798,,29100 ,,1855249,,64449,1264,11638,174,13600387,81219,167453994 
Serbia,1934953,,15533 ,,1867601,,51819,74,222971,1790,8891431,1024588,8678059 
Hungary,1812294,,44603 ,,1646037,,121654,117,188408,4637,10907123,1133913,9619011 
Jordan,1654677,,13882 ,,1572386,,68409,694,159505,1338,16319298,1573126,10373805 
Georgia,1631900,,16485 ,,1578178,,37237,,410411,4146,16039231,4033746,3976262 
Slovakia,1546510,,18817 ,,1389900,,137793,215,283031,3444,6561449,1200829,5464099 
