"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,483323843,1035626,6151655,2910,417676157.0,1287866.0,59496031.0,58446,62006.0,789.2,0,0,,All
China,144515,1275,4638,0,112132.0,1097.0,27745.0,58,100.0,3.0,160000000,111163,1439323776,Asia
USA,81658973,16886,1004244,215,64683169.0,225168.0,15971560.0,2270,244218.0,3003.0,979700827,2930000,334368837,North America
India,43021982,1259,521098,32,42485534.0,1705.0,15350.0,8944,30653.0,371.0,787355354,560981,1403532139,Asia
Brazil,29852341,9923,659012,86,28550311.0,52843.0,643018.0,8318,138732.0,3063.0,63776166,296386,215179769,South America
France,25059028,29455,141821,149,23023200.0,93009.0,1894007.0,1486,382440.0,2164.0,254106036,3878060,65524008,Europe
UK,20905515,46571,164671,73,18903733.0,60312.0,1837111.0,302,305170.0,2404.0,500714605,7309226,68504466,Europe
Germany,20465072,214035,129106,159,15873400.0,154900.0,4462566.0,2494,242913.0,1532.0,104701826,1242773,84248567,Europe
Russia,17783843,21101,367686,335,16689977.0,35746.0,726180.0,2300,121771.0,2518.0,273400000,1872052,146042988,Europe
Turkey,14815041,14364,97861,61,14475383.0,18526.0,241797.0,975,172443.0,1139.0,152938450,1780160,85912775,Asia
Italy,14396283,30710,158877,95,12983350.0,40300.0,1254056.0,487,238714.0,2634.0,199235675,3303656,60307637,Europe
S. Korea,12003054,187213,15186,287,,,,1273,233769.0,296.0,15804065,307797,51345708,Asia
Spain,11451676,0,102392,0,10755608.0,0.0,593676.0,510,244766.0,2189.0,471036328,10067851,46786186,Europe
Vietnam,9274849,83376,42358,52,5474708.0,122730.0,3757783.0,3401,93821.0,428.0,84027988,849992,98857369,Asia
Argentina,9028730,2655,127943,34,8852314.0,13640.0,48473.0,550,196640.0,2787.0,35298948,768790,45914969,South America
Netherlands,7775347,21462,21908,10,6283491.0,32890.0,1469948.0,168,452039.0,1274.0,21107399,1227130,17200626,Europe
Iran,7154003,2915,140063,42,6858772.0,3956.0,155168.0,1513,83325.0,1631.0,48991010,570611,85857043,Asia
Japan,6377719,43565,27767,68,5923340.0,42404.0,426612.0,691,50695.0,221.0,42863127,340711,125804988,Asia
Colombia,6083939,296,139585,12,5917027.0,403.0,27327.0,342,117398.0,2693.0,33853193,653242,51823346,South America
Indonesia,6001751,2798,154774,104,5724963.0,10301.0,122014.0,2771,21547.0,556.0,91602381,328867,278539122,Asia
Poland,5945592,2366,114829,1,5293498.0,9527.0,537265.0,328,157396.0,3040.0,35468501,938948,37774722,Europe
Mexico,5650896,919,322750,15,4948911.0,1897.0,379235.0,4798,43044.0,2458.0,15524434,118253,131281762,North America
Ukraine,4959082,6169,107861,50,,,,177,114586.0,2492.0,19521252,451065,43278115,Europe
Australia,4326294,46957,5897,6,3850408.0,41951.0,469989.0,113,166313.0,227.0,66122074,2541894,26012918,Australia/Oceania
Malaysia,4152203,13336,34842,54,3896489.0,25552.0,220872.0,288,125501.0,1053.0,55851665,1688125,33085033,Asia
Israel,3876122,11967,10485,0,3782095.0,0.0,83542.0,278,415625.0,1124.0,41373364,4436346,9326000,Asia
Belgium,3800166,8917,30731,21,3506989.0,8634.0,262446.0,167,325438.0,2632.0,32630945,2794439,11677099,Europe
Czechia,3790346,2245,39599,18,3688831.0,8022.0,61916.0,88,352806.0,3686.0,54579690,5080282,10743437,Europe
Austria,3747582,49071,15706,41,3331691.0,78939.0,400185.0,241,412025.0,1727.0,173915134,19120969,9095519,Europe
South Africa,3713833,581,99970,4,3600227.0,664.0,13636.0,546,61279.0,1650.0,23757304,392001,60605275,Africa
Philippines,3677370,381,59030,15,3576500.0,1359.0,41840.0,289,32801.0,527.0,28867209,257490,112109956,Asia
Thailand,3553720,24635,24883,81,3278103.0,25753.0,250734.0,1496,50692.0,355.0,17270775,246360,70103738,Asia
Peru,3545628,225,212157,29,,,,492,104999.0,6283.0,28614628,847384,33768214,South America
Portugal,3534003,0,21545,0,,,,64,348344.0,2124.0,39851361,3928121,10145147,Europe
Chile,3455060,4463,56446,65,2961198.0,29605.0,437416.0,655,178089.0,2909.0,35313893,1820232,19400764,South America
Canada,3450363,7966,37455,31,3268869.0,1590.0,144039.0,384,90050.0,978.0,59252292,1546411,38316016,North America
Switzerland,3440541,6958,13670,10,2759069.0,30683.0,667802.0,145,392559.0,1560.0,20199118,2304682,8764384,Europe
Greece,2957810,27489,27341,73,2681342.0,23642.0,249127.0,342,286200.0,2646.0,73051999,7068572,10334761,Europe
Denmark,2899802,3209,5585,0,2811399.0,7532.0,82818.0,26,497600.0,958.0,126729778,21746564,5827577,Europe
Romania,2842739,1951,64914,7,2606660.0,0.0,171165.0,400,149499.0,3414.0,21987011,1156290,19015141,Europe
Sweden,2481736,0,18155,0,2426067.0,2752.0,37514.0,32,243105.0,1778.0,18382831,1800742,10208477,Europe
Iraq,2318450,473,25156,6,2280424.0,815.0,12870.0,53,55483.0,602.0,18304232,438039,41786792,Asia
Serbia,1970827,1783,15768,10,1917068.0,0.0,37991.0,41,227150.0,1817.0,9142320,1053707,8676336,Europe
Bangladesh,1951363,81,29119,1,1878797.0,993.0,43447.0,1248,11648.0,174.0,13797351,82355,167534625,Asia
Hungary,1844581,5223,45342,84,1699172.0,5779.0,100067.0,60,191788.0,4714.0,11086534,1152709,9617810,Europe
Slovakia,1690203,2778,19292,22,1557216.0,3356.0,113695.0,176,309321.0,3531.0,6830063,1249959,5464228,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162766.0,1349.0,16575546,1597061,10378783,Asia
Georgia,1646545,229,16720,12,1621396.0,2993.0,8429.0,0,414133.0,4205.0,16320431,4104853,3975887,Asia
Pakistan,1524086,186,30346,1,1485426.0,110.0,8314.0,420,6675.0,133.0,27388407,119953,228327090,Asia
Ireland,1442877,5263,6721,11,1289097.0,3595.0,147059.0,52,286659.0,1335.0,11724746,2329375,5033429,Europe
Norway,1399714,2076,2339,0,,,,20,254736.0,426.0,9852076,1792996,5494755,Europe
Kazakhstan,1305065,25,13658,0,1287281.0,281.0,4126.0,528,68092.0,713.0,11575012,603930,19166152,Asia
Morocco,1163012,38,16058,1,1146377.0,89.0,577.0,293,30874.0,426.0,11237010,298308,37669172,Africa
Hong Kong,1136192,7685,7420,168,,,,115,149451.0,976.0,36260319,4769551,7602459,Asia
Bulgaria,1134906,1442,36480,43,910314.0,2639.0,188112.0,218,165493.0,5320.0,9562817,1394456,6857739,Europe
Croatia,1094202,143,15534,14,1069971.0,1637.0,8697.0,36,269417.0,3825.0,4660113,1147426,4061364,Europe
Lebanon,1091084,302,10288,5,1055020.0,5436.0,25776.0,186,161107.0,1519.0,4795578,708102,6772438,Asia
Cuba,1088017,834,8510,1,1075430.0,687.0,4077.0,23,96160.0,752.0,12920253,1141907,11314626,North America
