"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,482288217,1077287,6148745,2580,416388291.0,1065215.0,59751181.0,58720,61873.0,788.8,0,0,,All
China,143240,1254,4638,0,111035.0,999.0,27567.0,53,100.0,3.0,160000000,111163,1439323776,Asia
USA,81642087,14074,1004029,147,64458001.0,188413.0,16180057.0,2257,244168.0,3003.0,978642412,2926835,334368837,North America
India,43020723,1270,521066,32,42483829.0,1567.0,15828.0,8944,30652.0,371.0,786922965,560673,1403532139,Asia
Brazil,29842418,10239,658926,114,28497468.0,33032.0,686024.0,8318,138686.0,3062.0,63776166,296386,215179769,South America
France,25029573,110174,141672,41,22930191.0,14429.0,1957710.0,1564,381991.0,2162.0,254106036,3878060,65524008,Europe
UK,20858944,46570,164598,72,18843421.0,60244.0,1850925.0,302,304490.0,2403.0,500714605,7309226,68504466,Europe
Germany,20251037,80907,128947,190,15718500.0,72500.0,4403590.0,2494,240372.0,1531.0,104701826,1242773,84248567,Europe
Russia,17762742,23280,367351,338,16654231.0,47540.0,741160.0,2300,121627.0,2515.0,273400000,1872052,146042988,Europe
Turkey,14800677,11194,97800,64,14456857.0,15402.0,246020.0,975,172276.0,1138.0,152666015,1776989,85912775,Asia
Italy,14365573,60405,158782,82,12943050.0,52022.0,1263741.0,464,238205.0,2633.0,199024140,3300148,60307637,Europe
S. Korea,11815841,318130,14899,282,,,,1216,230123.0,290.0,15804065,307797,51345708,Asia
Spain,11451676,0,102392,0,10755608.0,0.0,593676.0,510,244766.0,2189.0,471036328,10067851,46786186,Europe
Vietnam,9191473,93751,42306,0,5351978.0,185861.0,3797189.0,3447,92977.0,428.0,83920695,848907,98857369,Asia
Argentina,9026075,818,127909,5,8838674.0,3191.0,59492.0,556,196582.0,2786.0,35271802,768198,45914969,South America
Netherlands,7753885,25020,21898,6,6250601.0,37519.0,1481386.0,161,450791.0,1273.0,21107399,1227130,17200626,Europe
Iran,7151088,2299,140021,50,6854816.0,4291.0,156251.0,1577,83291.0,1631.0,48991010,570611,85857043,Asia
Japan,6334154,47338,27699,98,5880936.0,49981.0,425519.0,694,50349.0,220.0,42788405,340117,125804988,Asia
Colombia,6083643,352,139573,15,5916624.0,371.0,27446.0,342,117392.0,2693.0,33829312,652781,51823346,South America
Indonesia,5998953,3077,154670,100,5714662.0,12499.0,129621.0,2771,21537.0,555.0,91472487,328401,278539122,Asia
Poland,5943226,3493,114828,7,5283971.0,2987.0,544427.0,340,157333.0,3040.0,35437379,938124,37774722,Europe
Mexico,5649977,2936,322735,101,4947014.0,2820.0,380228.0,4798,43037.0,2458.0,15519390,118214,131281762,North America
Ukraine,4952913,0,107811,0,,,,177,114444.0,2491.0,19521252,451065,43278115,Europe
Australia,4279337,46476,5891,9,3808457.0,35412.0,464989.0,99,164508.0,226.0,66035230,2538555,26012918,Australia/Oceania
Malaysia,4138867,16863,34788,37,3870937.0,26171.0,233142.0,299,125098.0,1051.0,55749903,1685049,33085033,Asia
Israel,3864155,16134,10485,25,3782095.0,15738.0,71575.0,287,414342.0,1124.0,41373364,4436346,9326000,Asia
Belgium,3791249,9164,30710,24,3498355.0,0.0,262184.0,167,324674.0,2630.0,32630945,2794439,11677099,Europe
Czechia,3788101,3520,39581,26,3680809.0,8803.0,67711.0,100,352597.0,3684.0,54568880,5079276,10743437,Europe
South Africa,3713252,989,99966,1,3599563.0,1838.0,13723.0,546,61269.0,1649.0,23744362,391787,60605275,Africa
Austria,3698511,0,15665,0,3252752.0,0.0,430094.0,238,406630.0,1722.0,173506959,19076092,9095519,Europe
Philippines,3676989,328,59015,131,3575141.0,846.0,42833.0,289,32798.0,526.0,28851194,257347,112109956,Asia
Peru,3545403,541,212128,26,,,,501,104992.0,6282.0,28566991,845973,33768214,South America
Portugal,3534003,0,21545,0,,,,64,348344.0,2124.0,39734174,3916570,10145147,Europe
Thailand,3529085,25821,24802,84,3252350.0,24066.0,251933.0,1496,50341.0,354.0,17270775,246360,70103738,Asia
Chile,3450597,7579,56381,83,2931593.0,31077.0,462623.0,670,177859.0,2906.0,35257498,1817325,19400764,South America
Canada,3442397,2754,37424,4,3267279.0,1638.0,137694.0,409,89842.0,977.0,59181662,1544567,38316016,North America
Switzerland,3433583,9751,13660,3,2728386.0,17542.0,691537.0,150,391765.0,1559.0,20199118,2304682,8764384,Europe
Greece,2930321,13429,27268,52,2657700.0,26564.0,245353.0,342,283540.0,2638.0,72938059,7057547,10334761,Europe
Denmark,2896593,3195,5585,2,2803867.0,6271.0,87141.0,25,497049.0,958.0,126711987,21743511,5827577,Europe
Romania,2840788,1939,64907,9,2606660.0,0.0,169221.0,394,149396.0,3413.0,21969296,1155358,19015141,Europe
Sweden,2481736,0,18155,0,2423315.0,3353.0,40266.0,32,243105.0,1778.0,18382831,1800742,10208477,Europe
Iraq,2317977,230,25150,1,2279609.0,883.0,13218.0,56,55472.0,602.0,18294182,437798,41786792,Asia
Serbia,1969044,1273,15758,12,1917068.0,2368.0,36218.0,38,226944.0,1816.0,9128244,1052085,8676336,Europe
Bangladesh,1951282,43,29118,0,1877804.0,673.0,44360.0,1264,11647.0,174.0,13787954,82299,167534625,Asia
Hungary,1839358,0,45258,0,1693393.0,0.0,100707.0,70,191245.0,4706.0,11053112,1149234,9617810,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162766.0,1349.0,16575546,1597061,10378783,Asia
Slovakia,1687425,5560,19270,19,1553860.0,7605.0,114295.0,176,308813.0,3527.0,6824373,1248918,5464228,Europe
Georgia,1646316,357,16708,4,1618403.0,3237.0,11205.0,0,414075.0,4202.0,16314971,4103480,3975887,Asia
Pakistan,1523900,310,30345,5,1485316.0,231.0,8239.0,428,6674.0,133.0,27360248,119829,228327090,Asia
Ireland,1437614,6940,6710,0,1285502.0,8033.0,145402.0,52,285613.0,1333.0,11724746,2329375,5033429,Europe
Norway,1397638,727,2339,0,,,,20,254359.0,426.0,9852076,1792996,5494755,Europe
Kazakhstan,1305040,23,13658,0,1287000.0,229.0,4382.0,528,68091.0,713.0,11575012,603930,19166152,Asia
Morocco,1162974,51,16057,0,1146288.0,49.0,629.0,293,30873.0,426.0,11237010,298308,37669172,Africa
Bulgaria,1133464,362,36437,8,907675.0,424.0,189352.0,242,165282.0,5313.0,9549663,1392538,6857739,Europe
Hong Kong,1128507,8037,7252,151,,,,115,148440.0,954.0,36260319,4769551,7602459,Asia
Croatia,1094059,961,15520,11,1068334.0,1753.0,10205.0,40,269382.0,3821.0,4658673,1147071,4061364,Europe
Lebanon,1090782,284,10283,5,1049584.0,0.0,30915.0,186,161062.0,1518.0,4795578,708102,6772438,Asia
Cuba,1087183,822,8509,0,1074743.0,730.0,3931.0,23,96087.0,752.0,12920253,1141907,11314626,North America
Singapore,1072005,4848,1250,4,1016799.0,7391.0,53956.0,22,180772.0,211.0,23477384,3958997,5930134,Asia
Tunisia,1033731,0,28165,0,,,,63,85908.0,2341.0,4500701,374028,12033066,Africa
Lithuania,1015046,2030,8831,14,938992.0,1260.0,67223.0,58,382109.0,3324.0,8033158,3024044,2656429,Europe
Nepal,978332,15,11951,0,964823.0,215.0,1558.0,100,32562.0,398.0,5529353,184034,30045265,Asia
Belarus,959276,784,6785,7,928536.0,0.0,23955.0,0,101576.0,718.0,12815911,1357052,9443932,Europe
Slovenia,956811,1319,6475,4,911616.0,1136.0,38720.0,52,460130.0,3114.0,2609027,1254681,2079434,Europe
Bolivia,901292,184,21487,0,829710.0,1963.0,50095.0,220,75428.0,1798.0,2682016,224453,11949103,South America
UAE,890111,314,2302,0,864414.0,2185.0,23395.0,0,88151.0,228.0,146965640,14554500,10097608,Asia
Uruguay,884081,727,7151,1,868744.0,1137.0,8186.0,46,252984.0,2046.0,5966754,1707417,3494609,South America
Ecuador,857299,0,35418,0,,,,759,47345.0,1956.0,2470170,136417,18107539,South America
Finland,844713,0,2985,0,46000.0,0.0,795728.0,32,152046.0,537.0,10331340,1859610,5555648,Europe
Costa Rica,834726,0,8266,0,792603.0,0.0,33857.0,73,161306.0,1597.0,3913872,756335,5174785,North America
Guatemala,824502,343,17285,7,795350.0,1183.0,11867.0,5,44592.0,935.0,4204067,227369,18490052,North America
Azerbaijan,791750,55,9681,2,781741.0,100.0,328.0,0,76886.0,940.0,6685296,649205,10297659,Asia
Latvia,790620,1137,5575,3,736915.0,2725.0,48130.0,31,427353.0,3013.0,7027307,3798466,1850038,Europe
Panama,763483,203,8164,1,752769.0,329.0,2550.0,10,172246.0,1842.0,5678637,1281129,4432524,North America
Saudi Arabia,750356,98,9039,1,733365.0,219.0,7952.0,141,20987.0,253.0,41476336,1160052,35753851,Asia
Sri Lanka,660890,93,16459,5,637119.0,31.0,7312.0,0,30641.0,763.0,6368159,295246,21568960,Asia
Paraguay,647906,70,18664,1,624673.0,216.0,4569.0,38,88944.0,2562.0,2584332,354774,7284456,South America
Kuwait,628130,0,2553,0,623331.0,0.0,2246.0,10,143406.0,583.0,7763313,1772417,4380072,Asia
Myanmar,610858,130,19430,1,568349.0,404.0,23079.0,0,11098.0,353.0,7598323,138045,55042370,Asia
New Zealand,597745,10278,223,6,483011.0,14598.0,114511.0,0,119499.0,45.0,6908279,1381076,5002100,Australia/Oceania
Palestine,580873,0,5345,0,574144.0,0.0,1384.0,17,109455.0,1007.0,3078533,580096,5306934,Asia
Dominican Republic,577880,39,4375,0,573202.0,0.0,303.0,26,52361.0,396.0,3214009,291215,11036551,North America
Estonia,551714,647,2439,3,471804.0,2913.0,77471.0,17,415422.0,1836.0,3228608,2431031,1328082,Europe
Bahrain,551342,980,1468,0,542171.0,1115.0,7703.0,6,305619.0,814.0,9585397,5313354,1804020,Asia
Venezuela,520113,36,5679,2,512734.0,197.0,1700.0,230,18381.0,201.0,3359014,118709,28296210,South America
Moldova,512602,216,11417,2,497832.0,334.0,3353.0,61,127586.0,2842.0,3140849,781752,4017703,Europe
Libya,501495,75,6404,7,489231.0,221.0,5860.0,114,71303.0,911.0,2470013,351188,7033300,Africa
Egypt,500889,0,24361,0,430198.0,0.0,46330.0,122,4740.0,231.0,3693367,34949,105680155,Africa
Ethiopia,469621,10,7492,0,435159.0,1962.0,26970.0,11,3917.0,62.0,4637343,38677,119898323,Africa
Mongolia,467982,25,2177,0,313256.0,0.0,152549.0,192,138875.0,646.0,4030048,1195925,3369816,Asia
Armenia,422458,14,8610,2,409790.0,33.0,4058.0,0,142105.0,2896.0,2966388,997827,2972849,Asia
Honduras,420621,0,10871,0,131100.0,0.0,278650.0,105,41328.0,1068.0,1263329,124127,10177714,North America
Cyprus,410020,4314,932,0,124370.0,0.0,284718.0,60,335367.0,762.0,9477138,7751620,1222601,Asia
