"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,470865839,1140407,6100688,2929,407055026.0,937508.0,57710125.0,62166,60408.0,782.7,0,0,,All
China,130199,1737,4638,0,105575.0,337.0,19986.0,35,90.0,3.0,160000000,111163,1439323776,Asia
USA,81410101,5966,997933,88,63006762.0,158083.0,17405406.0,3129,243505.0,2985.0,971606364,2906160,334326490,North America
India,43009390,1549,516516,6,42467774.0,2652.0,25100.0,8944,30650.0,368.0,782660658,557754,1403235816,Asia
Brazil,29630484,13218,657261,104,28187353.0,3489.0,785870.0,8318,137722.0,3055.0,63776166,296431,215146793,South America
France,24137160,81283,140933,30,22561912.0,13421.0,1434315.0,1695,368389.0,2151.0,246629975,3764144,65520860,Europe
UK,20093762,0,163511,0,18541447.0,0.0,1388804.0,292,293354.0,2387.0,495276718,7230667,68496687,Europe
Germany,18683287,90525,127432,24,14528800.0,80600.0,4027055.0,2494,221779.0,1513.0,104701826,1242859,84242727,Europe
Russia,17582692,31035,364492,434,16209942.0,74675.0,1008258.0,2300,120395.0,2496.0,273400000,1872069,146041625,Europe
Turkey,14693917,13081,97267,85,14324234.0,14263.0,272416.0,975,171072.0,1132.0,150681202,1754291,85892949,Asia
Italy,13862615,61287,157785,93,12531134.0,36166.0,1173696.0,467,229858.0,2616.0,195712501,3245132,60309573,Europe
Spain,11324637,0,101703,0,10571203.0,0.0,651731.0,682,242053.0,2174.0,471036328,10067936,46785791,Europe
S. Korea,9373646,334708,12428,327,,,,1634,182563.0,242.0,15804065,307803,51344747,Asia
Argentina,9007753,1227,127494,11,8812506.0,4527.0,67753.0,689,196222.0,2777.0,35069347,763940,45905913,South America
Vietnam,7958048,141151,41880,63,4103028.0,111635.0,3813140.0,3968,80516.0,424.0,82862859,838368,98838245,Asia
Netherlands,7511397,34823,21793,8,5990736.0,49272.0,1498868.0,150,436714.0,1267.0,21107399,1227189,17199799,Europe
Iran,7141031,1814,139610,60,6822521.0,5349.0,178900.0,2011,83196.0,1627.0,48534882,565454,85833545,Asia
