Continents,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical
North America,95392535,+1684,1416792,+42,67691652,+5807,26284091,11640
Asia,121653834,+221982,1362146,+255,110165605,+25115,10126083,30582
South America,54788318,+68,1263604,+1,49162901,,4361813,12914
Europe,160636292,,1726168,,140359010,+48104,18551114,13335
Africa,11576635,,250238,,10730830,,595567,1663
