Continents,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical
North America,95455617,+8939,1418895,+265,67921120,+9497,26115602,11355
Asia,122510837,+416591,1364218,+504,110677521,+105967,10469098,30380
South America,54887159,+44,1264422,,49378067,,4244670,12862
Europe,161564970,+17979,1729461,+34,142050931,+252439,17784578,13116
Africa,11589687,,251261,,10754059,,584367,1650
