"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Tunisia,1029762,,28065.0,,983630.0,,18067.0,74.0,85609.0,2333.0,4475031.0,372030.0,12028676.0,Africa,12.0,429.0,3.0,,,1502.0
Nepal,978044,57.0,11950.0,,961348.0,130.0,4746.0,100.0,32573.0,398.0,5492019.0,182905.0,30026627.0,Asia,31.0,2513.0,5.0,2.0,,158.0
Lithuania,969197,4982.0,8666.0,16.0,887641.0,9113.0,72890.0,63.0,364666.0,3261.0,7907132.0,2975102.0,2657768.0,Europe,3.0,307.0,0.0,1875.0,6.0,27425.0
Singapore,964329,15851.0,1159.0,6.0,921236.0,12945.0,41934.0,23.0,162660.0,195.0,23315251.0,3932739.0,5928502.0,Asia,6.0,5115.0,0.0,2674.0,1.0,7073.0
Belarus,943027,693.0,6681.0,11.0,928536.0,,7810.0,,99854.0,707.0,12651102.0,1339586.0,9444042.0,Europe,10.0,1414.0,1.0,73.0,1.0,827.0
Slovenia,923038,4228.0,6419.0,4.0,888977.0,2555.0,27642.0,65.0,443891.0,3087.0,2591453.0,1246237.0,2079423.0,Europe,2.0,324.0,1.0,2033.0,2.0,13293.0
Bolivia,897970,481.0,21475.0,2.0,810015.0,1387.0,66480.0,220.0,75185.0,1798.0,2682016.0,224560.0,11943446.0,South America,13.0,556.0,4.0,40.0,0.2,5566.0
UAE,885983,280.0,2302.0,,851918.0,947.0,31763.0,,87779.0,228.0,143122412.0,14179851.0,10093365.0,Asia,11.0,4385.0,0.0,28.0,,3147.0
Uruguay,867282,1638.0,7110.0,7.0,850698.0,1731.0,9474.0,65.0,248207.0,2035.0,5834665.0,1669823.0,3494182.0,South America,4.0,491.0,1.0,469.0,2.0,2711.0
Ecuador,849699,,35348.0,,,,,759.0,46950.0,1953.0,2470170.0,136488.0,18098018.0,South America,21.0,512.0,7.0,,,20470.0
Costa Rica,826251,1093.0,8192.0,6.0,739726.0,6062.0,78333.0,94.0,159720.0,1584.0,3854668.0,745132.0,5173135.0,North America,6.0,631.0,1.0,211.0,1.0,15142.0
Guatemala,807453,2060.0,17170.0,11.0,768454.0,3149.0,21829.0,5.0,43697.0,929.0,4085376.0,221091.0,18478264.0,North America,23.0,1076.0,5.0,111.0,0.6,1181.0
Azerbaijan,790962,142.0,9627.0,9.0,779828.0,243.0,1507.0,,76834.0,935.0,6640773.0,645085.0,10294416.0,Asia,13.0,1069.0,2.0,14.0,0.9,146.0
Finland,767220,6110.0,2719.0,2.0,46000.0,,718501.0,42.0,138105.0,489.0,10162649.0,1829347.0,5555343.0,Europe,7.0,2043.0,1.0,1100.0,0.4,129335.0
Hong Kong,761550,27765.0,4568.0,289.0,13232.0,,743750.0,111.0,100200.0,601.0,36260319.0,4770905.0,7600302.0,Asia,10.0,1664.0,0.0,3653.0,38.0,97858.0
Panama,760105,323.0,8143.0,3.0,749576.0,354.0,2386.0,16.0,171577.0,1838.0,5603325.0,1264828.0,4430110.0,North America,6.0,544.0,1.0,73.0,0.7,539.0
