"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,479555558,1588470,6142419,4616,414173270.0,1338186.0,59239869.0,59620,61523.0,788.0,0,0,,All
China,140651,1366,4638,0,109119.0,725.0,26894.0,50,98.0,3.0,160000000,111163,1439323776,Asia
USA,81600890,31927,1003198,692,64070163.0,245769.0,16527529.0,2548,244056.0,3000.0,977947531,2924896,334352957,North America
India,43018032,1660,520885,95,42480436.0,2349.0,16711.0,8944,30652.0,371.0,785644225,559807,1403421018,Asia
Brazil,29802257,34576,658626,259,28433713.0,26256.0,709918.0,8318,138507.0,3061.0,63776166,296403,215167403,South America
France,24779882,143571,141564,121,22870555.0,53554.0,1767763.0,1564,378187.0,2161.0,254106036,3878130,65522828,Europe
UK,20691123,39925,164454,172,18783177.0,24952.0,1743492.0,302,302053.0,2401.0,500714605,7309537,68501548,Europe
Germany,20018465,276746,128757,300,15518700.0,189700.0,4371008.0,2494,237618.0,1528.0,104701826,1242805,84246377,Europe
Russia,17715390,25382,366618,398,16545758.0,61860.0,803014.0,2300,121303.0,2510.0,273400000,1872058,146042477,Europe
Turkey,14775634,15303,97666,68,14423782.0,18965.0,254186.0,975,171999.0,1137.0,152146925,1771100,85905340,Asia
Italy,14229495,75616,158582,146,12824463.0,75604.0,1246450.0,447,235946.0,2630.0,198135632,3285376,60308363,Europe
Spain,11451676,24298,102392,113,10755608.0,16147.0,593676.0,510,244767.0,2189.0,471036328,10067882,46786038,Europe
S. Korea,11162232,339396,14294,392,,,,1085,217395.0,278.0,15804065,307799,51345347,Asia
Argentina,9023812,2572,127846,66,8831906.0,4092.0,64060.0,607,196548.0,2785.0,35236575,767488,45911573,South America
Vietnam,8761252,108979,42196,51,5001564.0,175540.0,3717492.0,3889,88632.0,427.0,83048614,840146,98850197,Asia
Netherlands,7700715,34989,21871,20,6171925.0,40554.0,1506919.0,156,447708.0,1272.0,21107399,1227152,17200316,Europe
Iran,7147407,1530,139917,52,6846230.0,4127.0,161260.0,1707,83256.0,1630.0,48991010,570670,85848232,Asia
Japan,6238879,49063,27485,129,5770149.0,42125.0,441245.0,733,49590.0,218.0,42521015,337983,125808148,Asia
Colombia,6082943,366,139544,13,5915963.0,890.0,27436.0,342,117388.0,2693.0,33791079,652099,51818903,South America
Indonesia,5991687,4857,154463,120,5691220.0,14710.0,146004.0,2771,21513.0,555.0,91247204,327620,278515429,Asia
Poland,5933107,8241,114736,110,5277322.0,7325.0,541049.0,358,157064.0,3037.0,35344642,935661,37775061,Europe
Mexico,5643963,3658,322432,155,4941341.0,3699.0,380190.0,4798,42995.0,2456.0,15490465,118004,131270665,North America
Ukraine,4952913,3630,107811,32,,,,177,114438.0,2491.0,19521252,451043,43280258,Europe
Australia,4180842,58700,5852,28,3732928.0,41240.0,442062.0,96,160737.0,225.0,65815062,2530327,26010494,Australia/Oceania
Malaysia,4101081,21839,34717,53,3819299.0,22324.0,247065.0,291,123969.0,1049.0,54416437,1644914,33081634,Asia
Israel,3835700,17635,10460,5,3754540.0,19976.0,70700.0,300,411291.0,1122.0,41373364,4436346,9326000,Asia
Czechia,3776902,7115,39519,26,3662858.0,13173.0,74525.0,103,351560.0,3678.0,54521816,5074972,10743275,Europe
Belgium,3771233,13457,30662,27,3489933.0,8326.0,250638.0,172,322971.0,2626.0,32594459,2791414,11676686,Europe
