"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,489708069,1335087,6171181,3816,424567568.0,1145778.0,58969320.0,56834,62825.0,791.7,0,0,,All
China,151103,1827,4638,0,117159.0,1120.0,29306.0,66,105.0,3.0,160000000,111163,1439323776,Asia
USA,81813710,30655,1008009,498,65382991.0,144972.0,15422710.0,1988,244662.0,3014.0,984636199,2944528,334395303,North America
India,43027035,1260,521293,82,42492326.0,1404.0,13416.0,8944,30652.0,371.0,789770958,562628,1403717340,Asia
Brazil,29975165,27270,660065,205,28739687.0,21107.0,575413.0,8318,139290.0,3067.0,63776166,296357,215200379,South America
France,25763472,148629,142407,134,23311449.0,72304.0,2309616.0,1486,393180.0,2173.0,254106036,3877944,65525975,Europe
Germany,21459975,231910,130342,297,16754000.0,207100.0,4575633.0,2494,254711.0,1547.0,104701826,1242719,84252217,Europe
UK,21216874,29825,165570,191,19075703.0,38589.0,1975601.0,356,309693.0,2417.0,505708151,7381596,68509327,Europe
Russia,17862089,19164,369064,342,16884785.0,45998.0,608240.0,2300,122306.0,2527.0,273400000,1872041,146043840,Europe
Turkey,14873927,13367,98078,45,14546788.0,14858.0,229061.0,975,173103.0,1141.0,154042513,1792752,85925166,Asia
Italy,14720003,74959,159537,154,13288370.0,82443.0,1272096.0,476,244087.0,2645.0,201422918,3339991,60306427,Europe
S. Korea,13375818,280187,16590,360,,,,1299,260502.0,323.0,15804065,307794,51346309,Asia
Spain,11551574,14421,102541,49,10918903.0,14591.0,530130.0,420,246900.0,2192.0,471036328,10067798,46786432,Europe
Vietnam,9650663,72556,42526,33,7606476.0,87463.0,2001661.0,2541,97610.0,430.0,84412291,853776,98869321,Asia
Argentina,9039838,1927,128052,33,8863774.0,3696.0,48012.0,487,196858.0,2789.0,35428975,771526,45920629,South America
Netherlands,7881010,21787,21994,10,6424619.0,48466.0,1434397.0,142,458168.0,1279.0,21107399,1227093,17201142,Europe
Iran,7164484,2264,140240,36,6877834.0,4192.0,146410.0,1596,83432.0,1633.0,49358909,574798,85871730,Asia
Japan,6552920,48047,28097,87,6083056.0,34973.0,441767.0,533,52090.0,223.0,43413502,345100,125799722,Asia
Colombia,6085270,354,139636,15,5918331.0,422.0,27303.0,342,117407.0,2694.0,33942728,654876,51830751,South America
Indonesia,6015748,2930,155164,75,5759838.0,9036.0,100746.0,2771,21594.0,557.0,92077404,330526,278578611,Asia
Poland,5966968,4051,115247,74,5329239.0,6172.0,522482.0,268,157964.0,3051.0,35695077,944960,37774158,Europe
Mexico,5659535,2458,323016,68,4957809.0,2008.0,378710.0,4798,43104.0,2460.0,15570337,118586,131300256,North America
Ukraine,4968881,2081,107980,23,,,,177,114822.0,2495.0,19521252,451102,43274545,Europe
Australia,4578611,64404,6341,17,4076428.0,51837.0,495842.0,88,175986.0,244.0,66674638,2562738,26016959,Australia/Oceania
Malaysia,4219395,17476,35013,30,3977403.0,17321.0,206979.0,263,127510.0,1058.0,56243263,1699670,33090698,Asia
Israel,3926819,8587,10496,11,3782095.0,0.0,134228.0,236,421061.0,1125.0,41373364,4436346,9326000,Asia
Austria,3854405,23357,15905,40,3497957.0,42625.0,340543.0,391,423737.0,1749.0,176169662,19367348,9096220,Europe
Belgium,3851048,15386,30826,30,3533094.0,9025.0,287128.0,164,329776.0,2640.0,32872543,2814964,11677786,Europe
Czechia,3822061,6484,39701,15,3716646.0,12672.0,65714.0,90,355749.0,3695.0,54710794,5092357,10743708,Europe
South Africa,3720645,1692,100042,10,3608072.0,4251.0,12531.0,546,61381.0,1650.0,23866743,393740,60615489,Africa
Philippines,3678595,353,59298,49,3580980.0,1299.0,38317.0,289,32807.0,529.0,28963124,258300,112129883,Asia
Thailand,3656726,28379,25225,92,3380290.0,23843.0,251211.0,1496,52160.0,360.0,17270775,246352,70106124,Asia
Portugal,3604114,10016,21693,22,,,,61,355269.0,2138.0,40088192,3951622,10144743,Europe
Peru,3547606,481,212256,34,,,,428,105038.0,6285.0,28804457,852847,33774490,South America
Canada,3492916,8092,37671,47,3292189.0,5577.0,163056.0,386,91150.0,983.0,59464465,1551765,38320532,North America
Switzerland,3490876,5968,13715,3,2825627.0,22386.0,651534.0,136,398263.0,1565.0,20324729,2318786,8765247,Europe
Chile,3476914,5978,56637,57,3042827.0,21584.0,377450.0,573,179195.0,2919.0,35577504,1833608,19403003,South America
Greece,3051531,21102,27571,61,2761144.0,12406.0,262816.0,351,295288.0,2668.0,74389472,7198469,10334069,Europe
Denmark,2914779,2862,5723,25,2844472.0,6779.0,64584.0,22,500146.0,982.0,126809247,21759163,5827855,Europe
Romania,2856491,2921,65055,25,2606660.0,0.0,184776.0,397,150236.0,3422.0,22124588,1163632,19013397,Europe
Sweden,2487852,0,18331,0,2432975.0,0.0,36546.0,25,243684.0,1796.0,18417910,1804026,10209336,Europe
Iraq,2319908,358,25167,3,2282967.0,700.0,11774.0,47,55501.0,602.0,18345612,438899,41799153,Asia
Serbia,1978228,1661,15809,10,1926928.0,3557.0,35491.0,40,228015.0,1822.0,9203251,1060789,8675857,Europe
Bangladesh,1951658,81,29122,0,1882197.0,893.0,40339.0,1283,11648.0,174.0,13831420,82548,167557022,Asia
Hungary,1854198,2327,45510,40,1709370.0,2644.0,99318.0,56,192795.0,4732.0,11127382,1156996,9617476,Europe
Slovakia,1716638,5754,19368,16,1599098.0,9764.0,98172.0,181,314157.0,3544.0,6887739,1260506,5464264,Europe
Jordan,1689314,0,14003,0,1668852.0,0.0,6459.0,276,162744.0,1349.0,16575546,1596848,10380165,Asia
Georgia,1648653,407,16748,3,1626296.0,1303.0,5609.0,0,414674.0,4213.0,16414209,4128548,3975783,Asia
Pakistan,1524973,180,30359,4,1485924.0,189.0,8690.0,403,6677.0,133.0,27501885,120419,228385782,Asia
Ireland,1465150,5725,6786,33,1300309.0,3329.0,158055.0,59,291040.0,1348.0,11833422,2350614,5034183,Europe
Norway,1407422,1462,2518,0,,,,20,256112.0,458.0,11002430,2002141,5495333,Europe
Kazakhstan,1305151,16,13659,0,1289810.0,117.0,1682.0,528,68086.0,713.0,11575012,603833,19169220,Asia
Morocco,1163359,85,16060,0,1146611.0,48.0,688.0,293,30879.0,426.0,11237010,298261,37675147,Africa
Hong Kong,1163238,5823,7945,120,,,,115,152991.0,1045.0,36260319,4769031,7603289,Asia
Bulgaria,1139956,1033,36554,25,925800.0,3291.0,177602.0,216,166246.0,5331.0,9615656,1402307,6857028,Europe
Singapore,1101438,5010,1270,2,1025578.0,0.0,74590.0,23,185716.0,214.0,23548306,3970537,5930761,Asia
Croatia,1100618,1442,15584,9,1075058.0,1485.0,9976.0,40,271020.0,3837.0,4683210,1153210,4061020,Europe
Lebanon,1092509,352,10307,4,1062231.0,1837.0,19971.0,186,161327.0,1522.0,4795578,708146,6772022,Asia
Cuba,1091063,778,8510,0,1078875.0,774.0,3678.0,23,96430.0,752.0,12920253,1141917,11314532,North America
Tunisia,1035884,0,28323,0,,,,42,86074.0,2353.0,4521880,375735,12034754,Africa
Lithuania,1027462,2524,8890,9,959807.0,3153.0,58765.0,66,386858.0,3347.0,8076570,3040976,2655914,Europe
Nepal,978442,16,11951,0,965469.0,75.0,1022.0,100,32558.0,398.0,5548906,184641,30052434,Asia
Slovenia,970541,2372,6493,6,925837.0,2995.0,38211.0,44,466733.0,3122.0,2616404,1258227,2079437,Europe
Belarus,963756,1049,6829,10,928536.0,0.0,28391.0,0,102051.0,723.0,12868991,1362679,9443890,Europe
Bolivia,902135,192,21895,1,838560.0,2049.0,41680.0,220,75484.0,1832.0,2682016,224412,11951279,South America
UAE,891588,288,2302,0,868492.0,830.0,20794.0,0,88283.0,228.0,148423053,14696458,10099240,Asia
Finland,889626,5950,3178,34,46000.0,0.0,840448.0,32,160127.0,572.0,10437451,1878670,5555765,Europe
Uruguay,888639,704,7161,2,875335.0,1207.0,6143.0,39,254277.0,2049.0,6011747,1720211,3494773,South America
Ecuador,859890,0,35421,0,,,,759,47478.0,1956.0,2470170,136389,18111201,South America
Costa Rica,839368,831,8308,8,815710.0,1903.0,15350.0,57,162184.0,1605.0,4053111,783146,5175420,North America
Guatemala,829881,1007,17318,6,803621.0,1584.0,8942.0,5,44872.0,936.0,4252266,229920,18494586,North America
Latvia,800687,1792,5632,16,755605.0,0.0,39450.0,28,432861.0,3045.0,7062678,3818169,1849755,Europe
Azerbaijan,791979,47,9694,2,781938.0,49.0,347.0,0,76899.0,941.0,6706012,651138,10298906,Asia
