"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,463693810,1856998.0,6080564.0,5579.0,396411905.0,1505694.0,61201341.0,63893.0,59488.0,780.1,,,,All,,,,,,
China,122456,1952.0,4636.0,,104040.0,156.0,13780.0,11.0,85.0,3.0,160000000.0,111163.0,1439323776.0,Asia,11754.0,310467.0,9.0,1.0,,10.0
USA,81289602,30508.0,994739.0,982.0,56631117.0,169649.0,23663746.0,3583.0,243160.0,2976.0,968708197.0,2897675.0,334305317.0,North America,4.0,336.0,0.0,91.0,3.0,70785.0
India,43001477,2539.0,516162.0,59.0,42454546.0,4491.0,30769.0,8944.0,30648.0,368.0,780506974.0,556278.0,1403087655.0,Asia,33.0,2718.0,2.0,2.0,0.04,22.0
Brazil,29478039,45765.0,656003.0,354.0,28063760.0,94949.0,758276.0,8318.0,137024.0,3049.0,63776166.0,296454.0,215130305.0,South America,7.0,328.0,3.0,213.0,2.0,3525.0
France,23758447,108832.0,140613.0,173.0,22394531.0,66586.0,1223303.0,1783.0,362618.0,2146.0,246629975.0,3764235.0,65519286.0,Europe,3.0,466.0,0.0,1661.0,3.0,18671.0
UK,19911155,91345.0,163248.0,153.0,18473970.0,44337.0,1273937.0,281.0,290704.0,2383.0,493513171.0,7205330.0,68492797.0,Europe,3.0,420.0,0.0,1334.0,2.0,18600.0
Germany,17843545,275807.0,126830.0,298.0,13931900.0,217700.0,3784815.0,2494.0,211818.0,1506.0,104701826.0,1242902.0,84239806.0,Europe,5.0,664.0,1.0,3274.0,4.0,44929.0
Russia,17449438,36519.0,362478.0,576.0,15822031.0,118009.0,1264929.0,2300.0,119483.0,2482.0,273400000.0,1872078.0,146040943.0,Europe,8.0,403.0,1.0,250.0,4.0,8661.0
Turkey,14623028,22345.0,96853.0,118.0,14245809.0,32364.0,280366.0,975.0,170267.0,1128.0,149492705.0,1740655.0,85883036.0,Asia,6.0,887.0,1.0,260.0,1.0,3265.0
