"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
World,455056951,1694100.0,6057327.0,6020.0,389005207.0,1464293.0,59994417.0,66437.0,58380.0,777.1,,,,All,,,,,,
China,112940,555.0,4636.0,,103280.0,141.0,5024.0,6.0,78.0,3.0,160000000.0,111163.0,1439323776.0,Asia,12744.0,310467.0,9.0,0.4,,3.0
USA,81154960,39254.0,993044.0,1022.0,55757373.0,157198.0,24404543.0,4604.0,242776.0,2971.0,963805880.0,2883239.0,334278850.0,North America,4.0,337.0,0.0,117.0,3.0,73007.0
India,42987875,3614.0,515833.0,88.0,42431513.0,5185.0,40529.0,8944.0,30642.0,368.0,776894810.0,553777.0,1402902454.0,Asia,33.0,2720.0,2.0,3.0,0.06,29.0
Brazil,29305114,55211.0,654612.0,465.0,27556598.0,,1093904.0,8318.0,136233.0,3043.0,63776166.0,296482.0,215109695.0,South America,7.0,329.0,3.0,257.0,2.0,5085.0
France,23381279,72399.0,140029.0,149.0,22087946.0,76531.0,1153304.0,1928.0,356872.0,2137.0,246629975.0,3764348.0,65517319.0,Europe,3.0,468.0,0.0,1105.0,2.0,17603.0
UK,19530485,72828.0,162738.0,114.0,18229317.0,46835.0,1138430.0,253.0,285167.0,2376.0,489876300.0,7152739.0,68487936.0,Europe,4.0,421.0,0.0,1063.0,2.0,16622.0
Russia,17242043,50743.0,359585.0,674.0,15194927.0,151210.0,1687531.0,2300.0,118064.0,2462.0,273400000.0,1872089.0,146040091.0,Europe,8.0,406.0,1.0,347.0,5.0,11555.0
Germany,16881948,245342.0,125911.0,242.0,13153300.0,189500.0,3602737.0,2494.0,200412.0,1495.0,104701826.0,1242956.0,84236156.0,Europe,5.0,669.0,1.0,2913.0,3.0,42769.0
Turkey,14513774,25401.0,96217.0,123.0,14065761.0,52269.0,351796.0,975.0,169019.0,1120.0,147898704.0,1722343.0,85870645.0,Asia,6.0,892.0,1.0,296.0,1.0,4097.0
Italy,13268459,53127.0,156649.0,156.0,12135331.0,48481.0,976479.0,545.0,219998.0,2597.0,191812811.0,3180356.0,60311750.0,Europe,5.0,385.0,0.0,881.0,3.0,16191.0
Spain,11223974,19849.0,101135.0,58.0,10294394.0,40187.0,828445.0,689.0,239904.0,2162.0,471036328.0,10068031.0,46785347.0,Europe,4.0,463.0,0.0,424.0,1.0,17707.0
