Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
World,447985917,+285667,6027055,+315,381537355,+102842,60421507,70300,57472,773.2,,,
USA,80979977,,985914 ,,55013011,,24981052,5705,242268,2950,958318603,2867006,334257677 
India,42970454,,515241 ,,42398095,,57118,8944,30633,367,773437172,551370,1402754293 
Brazil,29069469,,652418 ,,27179192,,1237859,8318,135148,3033,63776166,296505,215093207 
France,23071822,,139451 ,,21738104,,1194267,2484,352157,2129,246629975,3764438,65515745 
UK,19119181,,162008 ,,17537214,,1419959,264,279177,2366,485037295,7082486,68484046 
Russia,17014818,,356949 ,,14690595,,1967274,2300,116508,2444,273400000,1872097,146039410 
Germany,15951350,,124716 ,,12287900,,3538734,2494,189371,1481,104701826,1242999,84233236 
Turkey,14388231,,95681 ,,13813131,,479419,1011,167576,1114,146465952,1705855,85860733 
Italy,13048774,,156017 ,,11884397,,1008360,610,216352,2587,189968677,3149728,60312718 
Spain,11136425,,100574 ,,10099142,,936709,810,238033,2150,471036328,10068073,46785150 
Argentina,8942888,,126842 ,,8744742,,71304,966,194872,2764,34536410,752572,45891196 
Iran,7096318,,138116 ,,6739811,,218391,3572,82712,1610,47808284,557236,85795361 
Netherlands,6771643,,21612 ,,4948353,,1801678,163,393735,1257,21107399,1227284,17198457 
Colombia,6072656,,139120 ,,5901731,,31805,342,117250,2686,33374605,644394,51792246 
Indonesia,5770105,,150430 ,,5171402,,448273,2771,20728,540,87548938,314502,278373269 
Poland,5747322,,112551 ,,5132682,,502089,620,152138,2979,34117684,903132,37777092 
Mexico,5566669,+1684,319901 ,+42,4853879,+5807,392889,4798,42428,2438,15238167,116141,131204086 
Japan,5393533,,24935 ,,4712167,,656431,1354,42865,198,39948387,317486,125827106 
Ukraine,4875007,,106679 ,,N/A,N/A,N/A,177,112605,2464,19521252,450909,43293111 
S. Korea,4869691,+202714,9282 ,+186,969524,,3890885,1007,94846,181,15804065,307812,51343185 
Vietnam,4582058,,40891 ,,2718440,,1822727,4104,46374,414,80329853,812996,98807169 
South Africa,3685120,,99609 ,,3564491,,21020,546,60848,1645,23245373,383825,60562373 
Israel,3680639,,10317 ,,3609010,,61312,437,394664,1106,41373364,4436346,9326000 
Philippines,3668268,,57066 ,,3562765,,48437,289,32745,509,28362486,253177,112026263 
Malaysia,3649463,,33305 ,,3311854,,304304,368,110385,1007,50942409,1540850,33061241 
Czechia,3632095,,38940 ,,3523776,,69379,163,338111,3625,52856368,4920395,10742301 
Belgium,3586292,,30259 ,,3265779,+28382,290254,227,307198,2592,31867095,2729700,11674211 
Peru,3527549,,211108 ,,N/A,N/A,N/A,793,104545,6257,27647736,819390,33741853 
Australia,3424001,+37997,5465 ,+17,3157417,,261119,114,131713,210,64105005,2465961,25995948 
Portugal,3337806,,21216 ,,2843809,,472781,81,328950,2091,37805639,3725851,10146846 
Canada,3331820,,37039 ,,3183582,,111199,552,86999,967,58446801,1526144,38297049 
Chile,3202562,,43226 ,,2294279,,865057,1051,165154,2229,33587775,1732100,19391359 
Thailand,3066800,+18943,23372 ,+69,2819103,+25005,224325,687,43753,333,17270775,246395,70093717 
Switzerland,2935441,,13300 ,,2384339,,537802,139,335067,1518,18999657,2168723,8760758 
Austria,2893913,,15026 ,,2589460,,289427,195,318272,1653,162837175,17908804,9092577 
Romania,2771449,,63993 ,,2594194,,113262,750,145693,3364,21341417,1121906,19022464 
Denmark,2739270,,4905 ,,2479587,,254778,37,470147,842,125943143,21615908,5826410 
Greece,2517111,,26246 ,,2327383,,163482,370,243489,2539,67480882,6527670,10337668 
Sweden,2455966,,17479 ,,2317196,+19991,121291,59,240666,1713,18174812,1780994,10204870 
Iraq,2308928,,25068 ,,2257508,,26352,88,55324,601,18070156,432975,41734879 
Bangladesh,1947702,,29089 ,,1846884,,71729,1316,11632,174,13546950,80906,167440555 
Serbia,1927849,,15463 ,,1852399,,59987,83,222145,1782,8847698,1019514,8678346 
Hungary,1805898,,44436 ,,1632325,,129137,117,187739,4620,10878929,1130959,9619211 
Jordan,1638228,,13849 ,,1546429,,77950,694,157932,1335,16319298,1573251,10372975 
Georgia,1626282,,16398 ,,1562614,,47270,,408991,4124,16001160,4024108,3976325 
Pakistan,1515014,,30272 ,,1455162,,29580,826,6642,133,26683737,116993,228080586 
Slovakia,1512913,,18704 ,,1342335,,151874,214,276884,3423,6501004,1189772,5464077 
Ireland,1322591,,6570 ,,1205604,,110417,47,262927,1306,11453467,2276911,5030266 
Norway,1315692,,1664 ,,88952,,1225076,23,239551,303,9852076,1793789,5492326 
Kazakhstan,1303848,,13635 ,,1277112,,13101,528,68074,712,11575012,604336,19153269 
Morocco,1161698,,16022 ,,1143763,,1913,293,30860,426,11237010,298507,37644076 
Bulgaria,1103788,,35923 ,,860142,,207723,374,160885,5236,9291333,1354279,6860723 
Lebanon,1079375,,10161 ,,682977,,386237,186,159337,1500,4795578,707920,6774183 
Cuba,1073504,,8501 ,,1062430,,2573,23,94874,751,12920253,1141867,11315021 
Croatia,1063985,,15234 ,,1040551,,8200,69,261884,3750,4548820,1119624,4062809 
Tunisia,1005804,,27943 ,,972671,,5190,157,83636,2324,4383962,364541,12025975 
Nepal,977567,,11948 ,,959469,,6150,100,32569,398,5452220,181649,30015158 
Lithuania,934228,,8528 ,,845745,,79955,82,351400,3208,7824859,2943234,2658592 
Belarus,932207,,6579 ,,924423,,1205,,98708,697,12559952,1329924,9444110 
Slovenia,904459,,6367 ,,873991,,24101,80,434958,3062,2579410,1240449,2079417 
Bolivia,895098,,21463 ,,798486,,75149,220,74967,1798,2669468,223574,11939965 
UAE,883270,,2302 ,,844302,,36666,,87533,228,140493546,13922999,10090753 
