Continents,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical
North America,95663606,+7413,1424875,+244,68534421,+7285,25704310,10527
Asia,124893124,+408831,1369698,+337,111909309,+21522,11614117,29525
South America,55134189,+35,1266927,+1,49713290,,4153972,12495
Europe,164042074,,1736435,,144509031,,17796608,12150
Africa,11617497,,251666,,10773948,,591883,1567
