"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
World,469642587,1405035,6097588,3846,400391496.0,1103920.0,63153503.0,61681,60251.0,782.3,0,0,,All
China,128462,2228,4638,2,105238.0,614.0,18586.0,31,89.0,3.0,160000000,111163,1439323776,Asia
USA,81404135,12362,997845,327,57123063.0,147586.0,23283227.0,3214,243491.0,2985.0,971193511,2904971,334321197,North America
India,43007841,1761,516510,129,42465122.0,3196.0,26209.0,8944,30650.0,368.0,782228685,557461,1403198776,Asia
Brazil,29617266,40869,657157,290,28183864.0,19960.0,776245.0,8318,137663.0,3055.0,63776166,296437,215142671,South America
France,24055877,98104,140903,62,22548491.0,42488.0,1366483.0,1695,367151.0,2151.0,246629975,3764167,65520467,Europe
UK,20093762,0,163511,0,18541447.0,0.0,1388804.0,292,293358.0,2387.0,495276718,7230769,68495714,Europe
Germany,18592762,168187,127408,119,14448200.0,124700.0,4017154.0,2494,220707.0,1512.0,104701826,1242870,84241997,Europe
Russia,17551657,32958,364058,495,16135267.0,95558.0,1052332.0,2300,120183.0,2493.0,273400000,1872071,146041454,Europe
Turkey,14680836,17328,97182,105,14309971.0,18269.0,273683.0,975,170925.0,1131.0,150419086,1751290,85890471,Asia
Italy,13801328,75173,157692,85,12494968.0,48385.0,1148668.0,471,228840.0,2615.0,195342035,3238976,60309815,Europe
Spain,11324637,0,101703,0,10571203.0,0.0,651731.0,682,242053.0,2174.0,471036328,10067946,46785742,Europe
S. Korea,9038938,381329,12101,319,,,,1049,176044.0,236.0,15804065,307804,51344627,Asia
Argentina,9006526,1697,127483,44,8807979.0,4774.0,71064.0,699,196200.0,2777.0,35054019,763625,45904781,South America
Vietnam,7791841,150618,41817,77,3991393.0,129434.0,3758631.0,3691,78836.0,423.0,82654443,836280,98835854,Asia
Netherlands,7476574,41456,21785,11,5941464.0,56359.0,1513325.0,154,434692.0,1267.0,21107399,1227196,17199696,Europe
Iran,7139217,1323,139550,72,6817172.0,5167.0,182495.0,2082,83178.0,1626.0,48534882,565473,85830608,Asia
Colombia,6080589,693,139434,19,5912996.0,842.0,28159.0,342,117363.0,2691.0,33662028,649720,51810017,South America
Japan,6016206,49210,26919,155,5460249.0,58638.0,529038.0,983,47818.0,214.0,41855859,332679,125814467,Asia
Indonesia,5956561,7951,153599,188,5573228.0,24008.0,229734.0,2771,21390.0,552.0,90310576,324312,278468042,Asia
Poland,5885444,10377,114206,119,5227909.0,4569.0,543329.0,425,155800.0,3023.0,34983809,926092,37775738,Europe
Mexico,5629814,4860,321931,125,4922781.0,4851.0,385102.0,4798,42894.0,2453.0,15430608,117568,131248472,North America
Ukraine,4928032,0,107477,0,,,,177,113852.0,2483.0,19521252,450998,43284542,Europe
Malaysia,3974019,22341,34329,85,3656415.0,33347.0,283275.0,390,120152.0,1038.0,53426484,1615321,33074837,Asia
Australia,3863112,46479,5721,27,3500347.0,28138.0,357044.0,86,148549.0,220.0,65203967,2507300,26005646,Australia/Oceania
Israel,3758955,7906,10419,2,3704937.0,6146.0,43599.0,326,403062.0,1117.0,41373364,4436346,9326000,Asia
Czechia,3733107,8705,39357,15,3617982.0,9588.0,75768.0,133,347494.0,3664.0,54355892,5059680,10742950,Europe
Belgium,3707561,11502,30529,19,3442505.0,12696.0,234527.0,181,317541.0,2615.0,32372165,2772572,11675861,Europe
South Africa,3703329,1287,99879,11,3588264.0,1119.0,15186.0,546,61124.0,1649.0,23569125,389014,60586888,Africa
Philippines,3673717,525,58023,24,3570355.0,644.0,45339.0,289,32779.0,518.0,28672696,255837,112074088,Asia
Peru,3540793,685,211814,63,,,,605,104891.0,6275.0,28199031,835356,33756916,South America
Portugal,3458727,0,21408,0,,,,66,340900.0,2110.0,37805639,3726208,10145875,Europe
Austria,3429011,41999,15387,43,2963825.0,37407.0,449799.0,203,377052.0,1692.0,170281200,18724034,9094258,Europe
Canada,3396426,2078,37166,16,3238323.0,1704.0,120937.0,510,88661.0,970.0,58924697,1538187,38307887,North America
Chile,3382506,13182,44440,101,2705002.0,37485.0,633064.0,795,174385.0,2291.0,34610427,1784343,19396733,South America
Thailand,3328973,25804,24165,87,3067292.0,18801.0,237516.0,687,47489.0,345.0,17270775,246375,70099443,Asia
Switzerland,3253776,0,13467,0,2610682.0,0.0,629627.0,146,371316.0,1537.0,19698846,2248000,8762830,Europe
