Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
World,455511952,+459853,6057847,+603,389032204,+50615,60421901,66411,58438,777.2,,,
USA,81154960,,993044 ,,55757373,,24404543,4604,242776,2971,963805880,2883239,334278850 
India,42987461,,515833 ,,42426328,,45300,8944,30642,368,776894810,553777,1402902454 
Brazil,29305114,,654612 ,,27556598,,1093904,8318,136233,3043,63776166,296482,215109695 
France,23381279,,140029 ,,22087797,,1153453,1928,356872,2137,246629975,3764348,65517319 
UK,19530485,,162738 ,,18229317,,1138430,253,285167,2376,489876300,7152739,68487936 
Russia,17242043,,359585 ,,15194927,,1687531,2300,118064,2462,273400000,1872089,146040091 
Germany,16881948,,125911 ,,13153300,,3602737,2494,200412,1495,104701826,1242956,84236156 
Turkey,14513774,,96217 ,,14065761,,351796,975,169019,1120,147898704,1722343,85870645 
Italy,13268459,,156649 ,,12135331,,976479,545,219998,2597,191812811,3180356,60311750 
Spain,11223974,,101135 ,,10294394,,828445,689,239904,2162,471036328,10068031,46785347 
Argentina,8967210,,127051 ,,8762697,,77462,759,195382,2768,34739380,756920,45895724 
Iran,7117544,,138711 ,,6768271,,210562,3069,82948,1617,48108485,560658,85807110 
Netherlands,7055814,,21688 ,,5414887,,1619239,162,410249,1261,21107399,1227255,17198870 
S. Korea,6206277,+383651,10144 ,+269,N/A,N/A,N/A,1066,120877,198,15804065,307809,51343665 
Colombia,6075656,,139255 ,,5906638,,29763,342,117295,2688,33481801,646390,51798170 
Indonesia,5864010,,151703 ,,5335846,,376461,2771,21063,545,88766749,318841,278404860 
Poland,5799996,,113307 ,,5169557,,517132,523,153534,2999,34438732,911641,37776640 
Japan,5609096,,25697 ,,4971301,,612098,1252,44579,204,40655716,323119,125822893 
Mexico,5599284,+7413,320851 ,+244,4887459,+7285,390974,4798,42671,2445,15328170,116814,131218882 
Vietnam,5448935,,41228 ,,2983222,,2424485,3990,55142,417,81001418,819714,98816731 
Ukraine,4894331,,106985 ,,N/A,N/A,N/A,177,113058,2471,19521252,450939,43290255 
Malaysia,3774786,,33643 ,,3418443,,322700,380,114160,1017,51833725,1567595,33065773 
Israel,3707477,,10359 ,,3652205,,44913,388,397542,1111,41373364,4436346,9326000 
South Africa,3691962,,99709 ,,3572534,,19719,546,60953,1646,23365475,385756,60570545 
Czechia,3670380,,39100 ,,3554779,,76501,129,341669,3640,53015282,4935089,10742517 
Philippines,3669523,,57317 ,,3565090,,47116,289,32751,512,28479926,254189,112042205 
Belgium,3629671,,30380 ,,3333510,,265781,192,310899,2602,32069513,2746910,11674761 
Australia,3560323,+24703,5570 ,+19,3250184,,304569,96,136940,214,64527705,2481913,25999181 
Peru,3531075,,211364 ,,N/A,N/A,N/A,688,104634,6263,27785664,823355,33746874 
Portugal,3380263,,21285 ,,2876177,,482801,70,333145,2098,37805639,3725970,10146522 
Canada,3357009,,36855 ,,3207481,,112673,552,87649,962,58655426,1531447,38300662 
Chile,3269062,,43659 ,,2423874,,801529,1000,168568,2251,33911987,1748658,19393151 
Thailand,3161241,+24592,23646 ,+68,2911447,+21371,226148,687,45099,337,17270775,246389,70095625 
Austria,3071402,,15163 ,,2697610,,358629,176,337771,1668,165347447,18183763,9093137 
Switzerland,3058800,,13366 ,,2474544,,570890,142,349120,1526,19259669,2198229,8761449 
Denmark,2796420,,5076 ,,2580962,,210382,28,479938,871,126206869,21660347,5826632 
Romania,2787625,,64276 ,,2606660,,116689,608,146555,3379,21498489,1130246,19021069 
Greece,2604626,,26473 ,,2378977,,199176,361,251968,2561,68688765,6644869,10337114 
Sweden,2466577,,17765 ,,2372096,,76716,47,241690,1741,18297871,1792932,10205557 
Iraq,2311926,,25094 ,,2263685,,23147,90,55382,601,18127495,434246,41744767 
Bangladesh,1949055,,29105 ,,1857648,,62302,1264,11639,174,13614188,81299,167458473 
Serbia,1937183,,15552 ,,1872063,,49568,75,223230,1792,8904881,1026149,8677963 
Hungary,1814362,,44653 ,,1650643,,119066,109,188624,4642,10921558,1135422,9618944 
Jordan,1654677,,13882 ,,1572386,,68409,694,159501,1338,16319298,1573084,10374081 
Georgia,1633443,,16505 ,,1581376,,35562,,410801,4151,16053104,4037256,3976241 
Slovakia,1556433,,18847 ,,1402699,,134887,206,284847,3449,6578659,1203977,5464106 
Pakistan,1517512,,30298 ,,1469405,,17809,677,6652,133,26825303,117589,228127539 
Norway,1346777,,1753 ,,88952,,1256072,23,245190,319,9852076,1793638,5492789 
Ireland,1341826,,6611 ,,1223928,,111287,37,266719,1314,11510702,2288015,5030869 
Kazakhstan,1304220,,13642 ,,1279441,,11137,528,68085,712,11575012,604259,19155723 
Morocco,1161980,,16034 ,,1144938,,1008,293,30864,426,11237010,298469,37648856 
Bulgaria,1111216,,36069 ,,875759,,199388,345,161981,5258,9354689,1363627,6860154 
Lebanon,1083351,,10193 ,,982902,,90256,186,159931,1505,4795578,707954,6773851 
Cuba,1075616,,8503 ,,1064627,,2486,23,95062,751,12920253,1141875,11314946 
Croatia,1070855,,15308 ,,1045532,,10015,57,263593,3768,4573949,1125886,4062533 
Tunisia,1020546,,28018 ,,979949,,12579,113,84852,2330,4432295,368519,12027325 
Nepal,977848,,11950 ,,960686,,5212,100,32572,398,5475202,182380,30020893 
Lithuania,956180,,8607 ,,871258,,76315,74,359712,3238,7875623,2962788,2658180 
Belarus,937583,,6633 ,,928536,,2414,,99277,702,12601257,1334303,9444076 
Singapore,917103,,1129  ,,859317,,56657,23,154707,190,23315251,3933073,5927999 
Slovenia,914427,,6396 ,,883017,,25014,77,439751,3076,2586208,1243716,2079420 
Bolivia,896744,,21472 ,,804502,,70770,220,75093,1798,2682016,224592,11941706 
UAE,884736,,2302 ,,847788,,34646,,87667,228,141879002,14058479,10092059 
Uruguay,862153,,7083 ,,844434,,10636,83,246749,2027,5801596,1660421,3494051 
Ecuador,843760,,35316 ,,N/A,N/A,N/A,759,46629,1952,2470170,136511,18095088 
Costa Rica,822935,,8160 ,,718278,,96497,98,159094,1578,3801529,734932,5172627 
Guatemala,802744,,17139 ,,757609,,27996,5,43451,928,4057394,219620,18474637 
Azerbaijan,790378,,9589 ,,778543,,2246,,76785,932,6622919,643413,10293419 
Panama,759224,,8131 ,,748028,,3065,26,171407,1836,5582962,1260442,4429367 
Saudi Arabia,748489,,9016 ,,730038,,9435,330,20949,252,41197847,1153076,35728651 
Finland,734262,,2653 ,,46000,,685609,36,132174,478,10113235,1820483,5555249 
Latvia,733084,,5411 ,,618849,,108824,45,396048,2923,6885924,3720110,1851000 
Sri Lanka,655383,,16381 ,,618697,,20305,,30391,760,6368159,295303,21564799 
Hong Kong,646700,,3444 ,,13232,,630024,76,85096,453,36260319,4771322,7599638 
Paraguay,645655,,18522 ,,618923,,8210,86,88684,2544,2554263,350842,7280387 
Kuwait,625202,,2549 ,,618194,,4459,17,142834,582,7763313,1773605,4377137 
Myanmar,604219,,19403 ,,555290,,29526,,10981,353,7354769,133661,55025456 
Palestine,579548,,5306 ,,569179,,5063,71,109320,1001,3078533,580701,5301411 
Dominican Republic,576367,,4374 ,,571656,,337,29,52247,397,3158390,286306,11031502 
Bahrain,535065,,1462 ,,518158,,15445,9,297051,812,9490280,5268698,1801257 
Estonia,527913,,2337 ,,423051,,102525,25,397513,1760,3166504,2384342,1328041 
Venezuela,517720,,5655  ,,508691,,3374,230,18294,200,3359014,118693,28299936 
Moldova,507028,,11333 ,,488198,,7497,91,126185,2820,3075370,765372,4018137 
Libya,499767,,6336 ,,481778,,11653,123,71101,901,2451379,348754,7028959 
Egypt,495373,,24277 ,,424831,,46265,122,4691,230,3693367,34978,105590369 
Ethiopia,469153,,7484 ,,421433,,40236,53,3917,62,4559980,38074,119765656 
Mongolia,466642,,2177 ,,313256,,151209,192,138578,647,4030048,1196797,3367362 
Armenia,421842,,8568 ,,407933,,5341,,141910,2882,2930081,985699,2972592 
Honduras,414714,,10812 ,,129792,,274110,105,40777,1063,1263329,124216,10170392 
Oman,386003,,4250 ,,377476,,4277,29,72480,798,25000000,4694282,5325628 
Bosnia and Herzegovina,373105,,15614 ,,192218,,165273,,114930,4810,1725264,531444,3246372 
Qatar,358946,,674 ,,356884,,1388,,127839,240,3391376,1207839,2807805 
Cyprus,347876,,895 ,,124370,,222611,60,284632,732,9477138,7754201,1222194 
New Zealand,347576,+18740,93 ,+2,141078,+22195,206405,,69486,19,6835218,1366470,5002100 
Kenya,323160,,5644 ,,317465,,51,1,5795,101,3429326,61492,55768960 
Zambia,314986,,3960 ,,309336,,1690,3,16361,206,3305230,171682,19252003 
Réunion,310181,,680 ,,298082,,11419,41,342327,750,1498366,1653650,906096 
North Macedonia,301016,,9123 ,,289847,,2046,,144495,4379,1904444,914178,2083230 
Albania,272552,,3485 ,,268093,,974,13,94883,1213,1758227,612091,2872493 
Algeria,265391,,6861 ,,178008,,80522,13,5873,152,230861,5109,45186873 
Botswana,263950,,2619 ,,259434,,1897,1,108545,1077,2026898,833525,2431719 
Nigeria,254894,,3142 ,,249326,,2426,11,1187,15,4519905,21047,214755312 
Zimbabwe,241548,,5408 ,,231012,,5128,12,15862,355,2124014,139481,15227999 
Uzbekistan,237129,,1637 ,,234447,,1045,23,6916,48,1377915,40187,34287662 
Montenegro,231391,,2692 ,,227870,,829,60,368340,4285,1185660,1887393,628200 
Mozambique,225165,,2198 ,,221955,,1012,13,6879,67,1282207,39173,32731811 
Kyrgyzstan,200707,,2971 ,,195786,,1950,131,29930,443,1907195,284410,6705798 
Luxembourg,191964,,1004 ,,180078,,10882,4,298470,1561,4099088,6373357,643160 
Afghanistan,175974,,7640 ,,158302,,10032,1124,4355,189,902544,22336,40406958 
Maldives,174163,,297 ,,159621,,14245,25,312902,534,2210061,3970609,556605 
Uganda,163462,,3594 ,,100108,,59760,11,3393,75,2494741,51784,48176005 
Ghana,160693,,1445 ,,159079,,169,1,4996,45,2365638,73542,32166969 
Iceland,158533,,79 ,,75685,,82769,4,459541,229,1820155,5276102,344981 
Namibia,157366,,4014 ,,153069,,283,1,60097,1533,964061,368168,2618533 
El Salvador,156364,,4095 ,,132410,,19859,153,23904,626,1758939,268891,6541447 
Laos,145507,,640 ,,7660,,137207,,19521,86,1002806,134538,7453701 
Cambodia,133738,,3045 ,,128300,,2393,,7817,178,2892129,169037,17109398 
Trinidad and Tobago,132383,,3676 ,,108546,,20161,18,94080,2612,647371,460062,1407138 
Guadeloupe,130705,,843 ,,2250,,127612,19,326567,2106,938039,2343697,400239 
Rwanda,129589,,1458 ,,45522,,82609,,9604,108,4959057,367511,13493643 
Jamaica,128318,,2839 ,,79233,,46246,25,43017,952,875832,293609,2982983 
Martinique,126221,,900 ,,104,,125217,10,336792,2401,738299,1969985,374774 
Cameroon,119322,,1926 ,,117263,,133,13,4314,70,1751774,63332,27660153 
Brunei ,106936,,158 ,,68764,,38014,24,240549,355,717784,1614634,444549 
Angola,98855,,1900 ,,96817,,138,,2858,55,1453019,42007,34589663 
DRC,86315,,1335 ,,50930,,34050,,917,14,846704,8993,94151466 
Senegal,85785,,1964 ,,83768,,53,1,4905,112,1025172,58622,17487927 
Malawi,85486,,2620 ,,76642,,6224,67,4282,131,552610,27681,19963487 
Ivory Coast,81577,,795 ,,80623,,159,,2969,29,1439716,52392,27479781 
Suriname,78740,+35,1320 ,+1,49365,,28055,1,132224,2217,232068,389701,595503 
French Guiana,78075,,394 ,,11254,,66427,4,250452,1264,602022,1931192,311736 
Malta,72560,,613 ,,70386,,1561,4,163597,1382,1211456,2731408,443528 
French Polynesia,70158,,643 ,,N/A,N/A,N/A,7,247341,2267,,,283649 
Eswatini,69408,,1392 ,,67932,,84,11,58799,1179,485322,411138,1180437 
Fiji,64067,,834 ,,62218,,1015,,70604,919,502044,553272,907409 
Madagascar,63791,,1373 ,,59002,,3416,26,2208,48,401851,13909,28891404 
Guyana,63107,,1224 ,,61684,,199,5,79584,1544,548943,692272,792958 
Sudan,61655,,4865 ,,N/A,N/A,N/A,,1353,107,562941,12352,45575877 
New Caledonia,59217,,305 ,,55768,,3144,24,204105,1051,98964,341102,290130 
Mauritania,58657,,981 ,,57650,,26,30,12080,202,759231,156358,4855736 
Belize,57034,,652 ,,55851,,531,6,139174,1591,510065,1244653,409805 
Barbados,56805,,323 ,,55256,,1226,,197261,1122,596122,2070091,287969 
Channel Islands,56437,,147 ,,52513,,3777,,319633,833,1221372,6917290,176568 
Cabo Verde,55906,,401 ,,55441,,64,23,98743,708,400982,708226,566178 
Syria,55288,,3110 ,,49151,,3027,,3035,171,146269,8029,18217587 
Gabon,47564,,303 ,,47212,,49,1,20552,131,1580654,682994,2314303 
Papua New Guinea,41533,,639 ,,39905,,989,7,4498,69,249149,26985,9232924 
Seychelles,39605,,163 ,,39212,,230,,398541,1640,,,99375 
Curaçao,39459,,265 ,,38760,,434,3,238818,1604,494095,2990419,165226 
Andorra,38794,,152 ,,37925,,717,14,500736,1962,249838,3224798,77474 
Burundi,38238,,38 ,,773,,37427,,3062,3,345742,27686,12487804 
Togo,36848,,272 ,,36472,,104,,4282,32,700440,81390,8605946 
Mayotte,36745,,187 ,,2964,,33594,,129423,659,176919,623141,283915 
Guinea,36427,,440 ,,33000,,2987,8,2652,32,660107,48066,13733414 
Faeroe Islands,34237,,28 ,,7693,,26516,5,696214,569,778000,15820726,49176 
Mauritius,33856,,934 ,,30378,,2544,,26547,732,358675,281241,1275330 
Aruba,33796,,212 ,,33522,,62,4,314291,1972,177885,1654267,107531 
Tanzania,33726,,800 ,,N/A,N/A,N/A,7,539,13,,,62602749 
