Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical,TotCases1Mpop,TotDeaths1Mpop,TotalTests,Tests1Mpop,Population
Bahamas,33191,,771 ,,32098,,322,9,83063,1929,223430,559154,399586 
Lesotho,32716,,697 ,,23461,,8558,,15070,321,407836,187864,2170912 
Haiti,30438,,827 ,,26220,,3391,,2616,71,132422,11379,11637099 
Mali,30409,,726 ,,29564,,119,,1432,34,631808,29754,21234202 
Benin,26575,,163 ,,25506,,906,5,2099,13,604310,47739,12658627 
Somalia,26400,,1348 ,,13182,,11870,,1586,81,400466,24065,16640810 
Isle of Man,24346,,81 ,,23195,,1070,,283779,944,150753,1757192,85792 
Congo,24049,,378 ,,20178,,3493,,4185,66,347815,60520,5747128 
Saint Lucia,22833,,364 ,,22424,,45,1,123392,1967,137657,743915,185044 
Timor-Leste,22784,,129 ,,22566,,89,9,16743,95,252353,185444,1360806 
Taiwan,21163,,853 ,,19084,,1226,,886,36,11995178,502110,23889540 
Burkina Faso,20751,,375 ,,20309,,67,,949,17,248995,11385,21869695 
Cayman Islands,19433,,17 ,,8553,,10863,2,289941,254,222773,3323780,67024 
Nicaragua,18203,,222  ,,4225,,13756,,2694,33,,,6757560 
Tajikistan,17388,,124 ,,17263,,1,,1757,13,,,9898943 
South Sudan,17051,,138 ,,13503,,3410,1,1494,12,347087,30406,11415195 
Bhutan,16666,,7 ,,12695,,3964,3,21205,9,2032568,2586139,785947 
Equatorial Guinea,15894,,183 ,,15670,,41,5,10734,124,290997,196530,1480676 
Gibraltar,15840,,101 ,,15413,,326,10,470393,2999,521652,15491240,33674 
Djibouti,15564,,189 ,,15359,,16,,15376,187,289377,285877,1012243 
San Marino,14523,,112 ,,14198,,213,4,426507,3289,138257,4060292,34051 
CAR,14320,,113 ,,6859,,7348,2,2880,23,81294,16352,4971436 
Liechtenstein,13789,,79 ,,13103,,607,4,359904,2062,80413,2098844,38313 
Grenada,13690,,216 ,,13336,,138,4,120720,1905,136411,1202887,113403 
Gambia,11963,,365 ,,11583,,15,,4726,144,153983,60836,2531135 
Greenland,11856,,20 ,,2761,,9075,4,208234,351,164926,2896691,56936 
Bermuda,11850,,124 ,,11502,,224,,191469,2004,815667,13179302,61890 
Yemen,11783,,2139 ,,8838,,806,23,381,69,265253,8575,30933882 
Dominica,11502,,62 ,,11127,,313,,159114,858,173397,2398697,72288 
Saint Martin,9912,,63 ,,1399,,8450,7,249183,1584,112382,2825230,39778 
Monaco,9736,,51 ,,9456,,229,4,245165,1284,54960,1383965,39712 
Eritrea,9720,,103 ,,9616,,1,,2678,28,23693,6528,3629244 
Sint Maarten,9599,,85 ,,9463,,51,10,219672,1945,62056,1420143,43697 
Niger,8780,,308 ,,8460,,12,1,342,12,233409,9088,25683313 
Solomon Islands,8491,,118 ,,1860,,6513,3,11871,165,5117,7154,715289 
Comoros,8060,,160 ,,7884,,16,,8947,178,,,900845 
Guinea-Bissau,8050,,168 ,,7055,,827,6,3934,82,125580,61365,2046443 
Sierra Leone,7667,,125 ,,N/A,N/A,N/A,,929,15,259958,31508,8250609 
Caribbean Netherlands,7614,,31 ,,7547,,36,,285875,1164,30126,1131111,26634 
Antigua and Barbuda,7466,,135 ,,7317,,14,1,75188,1360,18901,190346,99298 
Liberia,7392,,294 ,,5747,,1351,2,1406,56,139824,26592,5258156 
Chad,7258,,190 ,,4874,,2194,,421,11,191341,11111,17220507 
St. Vincent Grenadines,6742,,106 ,,6634,,2,,60447,950,98236,880764,111535 
British Virgin Islands,6091,,62 ,,N/A,N/A,N/A,1,199241,2028,100749,3295574,30571 
Sao Tome and Principe,5934,,72 ,,5862,,0,,26254,319,29036,128464,226024 
Turks and Caicos,5874,,36 ,,5808,,30,4,148330,909,419792,10600540,39601 
Saint Kitts and Nevis,5538,,42 ,,5491,,5,1,102872,780,65141,1210035,53834 
Palau,3899,,6 ,,3568,,325,,213761,329,37947,2080428,18240 
St. Barth,3780,,6 ,,N/A,N/A,N/A,,380741,604,78646,7921636,9928 
Kiribati,3019,,13 ,,2407,,599,9,24637,106,,,122541 
Anguilla,2574,,9 ,,2552,,13,4,169020,591,51382,3373958,15229 
Tonga,1513,+131,2 ,,453,+11,1058,,14046,19,51006,473519,107717 
Saint Pierre Miquelon,1316,,1 ,,1099,,216,1,229029,174,17358,3020884,5746 
Diamond Princess,712,,13 ,,699,,0,,,,,, 
Wallis and Futuna,454,,7 ,,438,,9,,41625,642,20508,1880260,10907 
Cook Islands,280,, ,,71,,209,,15917,,2943,167301,17591 
Montserrat,166,,2 ,,162,,2,,33220,400,8359,1672804,4997 
Vanuatu,157,,1 ,,13,,143,1,492,3,24976,78234,319249 
Falkland Islands,118,, ,,N/A,N/A,N/A,,32320,,8632,2364284,3651 
Macao,82,, ,,79,,3,,123,,5318,8006,664271 
Samoa,45,, ,,28,,17,,224,,,,200639 
Vatican City,29,, ,,28,,1,,36070,,,,804 
Western Sahara,10,,1 ,,8,,1,,16,2,,,622105 
MS Zaandam,9,,2 ,,7,,0,,,,,, 
Marshall Islands,7,, ,,7,,0,,117,,,,59864 
Saint Helena,2,, ,,2,,0,,327,,,,6108 
Micronesia,1,, ,,1,,0,,9,,,,117058 
