Continents,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious_Critical
North America,95531453,+10759,1421086,+254,68149889,+3870,25960478,11087
Asia,123391560,+451644,1366621,+966,111363922,+153404,10661017,29706
South America,54966073,+492,1265271,,49547726,+1456,4153076,12771
Europe,162544716,+205972,1733220,+1154,143165526,+530192,17645970,12369
Africa,11607506,+594,251389,+8,10761543,+1659,594574,1637
