"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent
Montenegro,233010,86,2702,2,229711.0,86.0,597.0,6,370915.0,4301.0,1209418,1925199,628204,Europe
Mozambique,225249,5,2200,0,222998.0,1.0,51.0,13,6872.0,67.0,1295834,39534,32777445,Africa
Luxembourg,214099,1709,1035,0,193675.0,907.0,19389.0,4,332612.0,1608.0,4157103,6458248,643689,Europe
Kyrgyzstan,200923,14,2988,2,196206.0,13.0,1729.0,131,29938.0,445.0,1907195,284173,6711391,Asia
Iceland,180951,369,98,1,75685.0,0.0,105168.0,4,524350.0,284.0,1881426,5451892,345096,Europe
Afghanistan,177716,58,7667,2,160937.0,166.0,9112.0,1124,4393.0,190.0,921112,22770,40452581,Asia
Maldives,176993,0,298,0,163687.0,0.0,13008.0,25,317704.0,535.0,2213831,3973849,557100,Asia
Laos,174136,2697,664,1,7660.0,0.0,165812.0,0,23345.0,89.0,1023002,137147,7459184,Asia
Uganda,163892,14,3595,0,100167.0,0.0,60130.0,2,3397.0,75.0,2555603,52964,48251357,Africa
El Salvador,161052,0,4118,0,141145.0,0.0,15789.0,45,24614.0,629.0,1847861,282412,6543143,North America
Ghana,160925,0,1445,0,159409.0,0.0,71.0,1,4998.0,45.0,2410734,74866,32200709,Africa
Namibia,157622,0,4019,0,153069.0,0.0,534.0,3,60140.0,1533.0,982245,374770,2620925,Africa
Martinique,141415,0,909,0,104.0,0.0,140402.0,8,377349.0,2426.0,807954,2155930,374759,North America
Trinidad and Tobago,137757,261,3746,5,126980.0,359.0,7031.0,18,97882.0,2662.0,673601,478623,1407372,North America
Cambodia,135585,33,3054,0,131598.0,71.0,933.0,0,7919.0,178.0,2924126,170788,17121412,Asia
Brunei,133726,745,208,2,127970.0,1210.0,5548.0,0,300666.0,468.0,717784,1613846,444766,Asia
Guadeloupe,130705,0,843,0,2250.0,0.0,127612.0,19,326564.0,2106.0,938039,2343674,400243,North America
Rwanda,129718,4,1458,0,45522.0,0.0,82738.0,0,9601.0,108.0,5102965,377708,13510361,Africa
Jamaica,128735,8,2884,2,81052.0,68.0,44799.0,0,43147.0,967.0,924184,309749,2983653,North America
Cameroon,119544,0,1927,0,117455.0,0.0,162.0,13,4317.0,70.0,1751774,63253,27694561,Africa
Angola,99138,0,1900,0,97120.0,0.0,118.0,0,2862.0,55.0,1494119,43129,34642986,Africa
DRC,86748,33,1337,0,50930.0,0.0,34481.0,0,920.0,14.0,846704,8979,94293452,Africa
Senegal,85886,6,1964,0,83889.0,6.0,33.0,0,4905.0,112.0,1043229,59576,17510912,Africa
Malawi,85631,6,2626,0,80227.0,308.0,2778.0,67,4284.0,131.0,561333,28082,19989233,Africa
Ivory Coast,81722,3,796,0,80909.0,1.0,17.0,0,2970.0,29.0,1470274,53438,27513793,Africa
Suriname,79188,15,1324,0,49377.0,0.0,28487.0,0,132916.0,2222.0,235193,394767,595776,South America
Malta,78779,717,638,3,72562.0,216.0,5579.0,4,177595.0,1438.0,1801312,4060768,443589,Europe
French Guiana,78649,0,394,0,11254.0,0.0,67001.0,4,251968.0,1262.0,609252,1951861,312139,South America
French Polynesia,72195,0,646,0,,,,7,254447.0,2277.0,0,0,283733,Australia/Oceania
Eswatini,69723,28,1394,0,68268.0,4.0,61.0,11,59034.0,1180.0,1000792,847368,1181060,Africa
Channel Islands,68613,248,156,0,64012.0,368.0,4445.0,0,388410.0,883.0,1243253,7037905,176651,Europe
Fiji,64404,4,834,0,62600.0,5.0,970.0,0,70949.0,919.0,504823,556128,907746,Australia/Oceania
Madagascar,64009,0,1384,0,59280.0,0.0,3345.0,19,2213.0,48.0,410717,14198,28928480,Africa
Guyana,63246,7,1226,0,61949.0,14.0,71.0,3,79740.0,1546.0,567141,715044,793155,South America
Sudan,61929,0,4905,0,,,,0,1357.0,107.0,562941,12337,45629166,Africa
New Caledonia,60262,21,311,0,59631.0,26.0,320.0,3,207605.0,1071.0,98964,340935,290272,Australia/Oceania
Barbados,59080,218,374,0,57526.0,0.0,1180.0,0,205148.0,1299.0,611269,2122558,287987,North America
Mauritania,58668,0,982,0,57679.0,0.0,7.0,0,12066.0,202.0,779912,160406,4862103,Africa
Belize,57277,24,654,0,56318.0,28.0,305.0,6,139638.0,1594.0,521962,1272516,410181,North America
Cabo Verde,55950,0,401,0,55491.0,3.0,58.0,23,98766.0,708.0,400982,707835,566491,Africa
Syria,55688,8,3140,2,51576.0,13.0,972.0,0,3053.0,172.0,146269,8019,18239721,Asia
Gabon,47584,0,303,0,47265.0,0.0,16.0,0,20537.0,131.0,1588441,685549,2317036,Africa
